city,pop_2020,pop_2030,pop_2040,pop_2050,decline_rate_2050
"横浜市西区",100451,97377,91996,87385,13
"横浜市中区",149231,144711,136801,130021,12.9
"横浜市神奈川区",237152,231304,221071,212300,10.5
"横浜市港北区",342874,334523,319908,307382,10.4
"横浜市都筑区",217549,212891,204739,197751,9.1
"横浜市青葉区",310152,301617,286681,273878,11.7
"川崎市川崎区",234213,228576,218711,210256,10.2
"川崎市中原区",260879,254982,244661,235815,9.6
"相模原市中央区",236588,230185,218979,209374,11.5
"藤沢市",438894,428792,411113,395960,9.8
"平塚市",258954,252302,240660,230682,10.9
"小田原市",189803,185383,177649,171020,9.9
