city,district,year,median_per_sqm,max_per_sqm,min_per_sqm,sample_lines
横浜市西区,横浜駅,2023,3040000,3696000,756000,3
横浜市中区,関内,2023,2240000,2464000,2016000,1
横浜市中区,元町,2023,2560000,2816000,2304000,1
横浜市中区,山手,2023,736000,809600,662400,1
横浜市神奈川区,横浜駅北,2023,464000,510400,417600,1
横浜市神奈川区,反町,2023,416000,457600,374400,1
横浜市港北区,新横浜,2023,1480000,1628000,1332000,1
横浜市港北区,日吉,2023,496000,545600,446400,1
横浜市都筑区,センター北,2023,384000,422400,345600,1
横浜市青葉区,青葉台,2023,416000,457600,374400,1
川崎市川崎区,川崎駅,2023,1080000,1188000,972000,1
川崎市川崎区,川崎,2023,336000,369600,302400,1
川崎市中原区,武蔵小杉,2023,1300000,2200000,540000,2
相模原市中央区,相模原,2023,224000,246400,201600,1
藤沢市,藤沢,2023,256000,281600,230400,1
平塚市,平塚,2023,156000,171600,140400,1
小田原市,小田原,2023,134400,147840,120960,1
横浜市西区,横浜駅,2024,3240000,3916000,792000,3
横浜市中区,関内,2024,2360000,2596000,2124000,1
横浜市中区,元町,2024,2720000,2992000,2448000,1
横浜市神奈川区,横浜駅北,2024,488000,536800,439200,1
横浜市港北区,新横浜,2024,1560000,1716000,1404000,1
横浜市港北区,日吉,2024,520000,572000,468000,1
横浜市都筑区,センター北,2024,400000,440000,360000,1
横浜市青葉区,青葉台,2024,436000,479600,392400,1
川崎市川崎区,川崎駅,2024,1136000,1249600,1022400,1
川崎市川崎区,川崎,2024,360000,396000,324000,1
川崎市中原区,武蔵小杉,2024,1428000,2420000,590400,2
相模原市中央区,相模原,2024,232000,255200,208800,1
藤沢市,藤沢,2024,270400,297440,243360,1
平塚市,平塚,2024,164000,180400,147600,1
小田原市,小田原,2024,140000,154000,126000,1
横浜市西区,横浜駅,2025,3620000,4180000,3096000,2
横浜市中区,関内,2025,2480000,2728000,2232000,1
横浜市中区,元町,2025,2880000,3168000,2592000,1
横浜市港北区,新横浜,2025,1640000,1804000,1476000,1
川崎市中原区,武蔵小杉,2025,1532000,2596000,633600,2
藤沢市,藤沢,2025,284000,312400,255600,1
