city,district,elementary_school,junior_high_school,education_score,university_advancement_rate,nearby_school_count,avg_deviation_value
横浜市西区,横浜駅周辺,横浜市立西戸部小学校,横浜市立西中学校,72,68.5,8,52.1
横浜市中区,山手,横浜市立山手小学校,横浜市立港中学校,74,70.2,9,53.8
横浜市神奈川区,三ツ沢,横浜市立三ツ沢小学校,横浜市立神奈川中学校,68,62.5,7,50.2
横浜市神奈川区,大口,横浜市立大口台小学校,横浜市立大綱中学校,65,60.0,6,49.5
横浜市港北区,日吉,横浜市立日吉台小学校,横浜市立港北中学校,78,74.5,10,55.3
横浜市港北区,新横浜,横浜市立新横浜小学校,横浜市立師岡中学校,75,71.0,8,53.5
横浜市都筑区,センター北,横浜市立川和小学校,横浜市立都田中学校,80,76.5,11,56.2
横浜市都筑区,牛久保,横浜市立牛久保小学校,横浜市立都筑中学校,78,74.0,10,55.0
横浜市青葉区,青葉台,横浜市立青葉台小学校,横浜市立桂中学校,88,82.5,12,60.5
横浜市青葉区,たまプラーザ,横浜市立美しが丘小学校,横浜市立青葉台中学校,90,85.0,13,62.3
横浜市磯子区,磯子,横浜市立磯子小学校,横浜市立磯子中学校,65,58.5,6,48.5
横浜市金沢区,金沢文庫,横浜市立金沢文庫小学校,横浜市立金沢中学校,70,65.0,7,50.8
川崎市川崎区,川崎駅前,川崎市立田島小学校,川崎市立川崎中学校,65,60.0,7,49.0
川崎市川崎区,大島,川崎市立大島小学校,川崎市立大島中学校,62,57.5,6,47.8
川崎市中原区,武蔵小杉,川崎市立中原小学校,川崎市立中原中学校,80,76.0,11,56.8
川崎市中原区,元住吉,川崎市立住吉小学校,川崎市立住吉中学校,78,74.5,10,55.5
川崎市宮前区,宮前平,川崎市立宮前平小学校,川崎市立宮前中学校,86,81.0,11,59.5
川崎市宮前区,鷺沼,川崎市立鷺沼小学校,川崎市立東有馬中学校,87,82.5,12,60.8
神奈川県相模原市,相模大野,相模原市立相模大野小学校,相模原市立相模台中学校,72,67.5,9,51.5
神奈川県相模原市,橋本,相模原市立橋本小学校,相模原市立橋本中学校,70,65.0,8,50.5
神奈川県藤沢市,藤沢,藤沢市立鵠沼小学校,藤沢市立鵠洋中学校,75,70.5,10,53.0
神奈川県藤沢市,辻堂,藤沢市立辻堂小学校,藤沢市立湘南台中学校,72,68.0,9,51.8
神奈川県平塚市,平塚,平塚市立崇善小学校,平塚市立中原中学校,68,62.0,7,49.8
神奈川県小田原市,小田原,小田原市立酒匂小学校,小田原市立白山中学校,70,65.5,8,51.2
神奈川県鎌倉市,鎌倉,鎌倉市立第一小学校,鎌倉市立第一中学校,88,83.0,10,61.5
神奈川県鎌倉市,大船,鎌倉市立大船小学校,鎌倉市立玉縄中学校,84,79.5,9,59.0
横浜市港北区,綱島,横浜市立綱島小学校,横浜市立綱島中学校,76,72.0,9,54.2
横浜市西区,みなとみらい,横浜市立みなとみらい本町小学校,横浜市立横浜吉田中学校,76,72.5,8,53.2
