year,quarter,city,district,property_type,area_sqm,price_total,price_per_sqm,building_year,structure,use
2024,Q3,横浜市西区,浅間町,land,183.2,96565819,527106,2010,W,戸建て
2021,Q4,横浜市中区,本牌,land,94.8,26508355,279624,2018,S,戸建て
2021,Q3,横浜市都筑区,葛が谷,land,49.4,14810268,299803,1993,S,事務所
2024,Q1,川崎市幸区,新川崎,commercial,67.7,23750514,350820,2022,SRC,店舗
2023,Q4,川崎市川崎区,川崎,office,165.7,60975114,367985,1981,SRC,マンション
2024,Q1,相模原市緑区,中野,land,149.2,49895762,334422,1997,W,マンション
2024,Q2,横浜市西区,高島,land,84.9,32134904,378503,2009,RC,マンション
2023,Q2,横浜市中区,関内,land,259.9,123775035,476241,2012,RC,マンション
2024,Q1,横浜市都筑区,牛久保,residential,190.7,42172351,221145,2007,SRC,住宅
2023,Q3,川崎市幸区,新川崎,commercial,143.7,46982283,326947,2002,S,マンション
2020,Q4,川崎市川崎区,大師,residential,217.3,38528811,177307,2000,SRC,住宅
2020,Q2,相模原市緑区,橋本,commercial,239.8,114086768,475758,1987,SRC,店舗
2020,Q2,横浜市西区,浅間町,land,204.9,113120167,552075,2001,SRC,戸建て
2020,Q2,横浜市中区,山手,office,57.0,9317334,163462,1997,W,マンション
2020,Q2,横浜市都筑区,センター南,residential,204.3,62948098,308116,2021,RC,戸建て
2022,Q4,川崎市幸区,幸町,office,47.2,23104352,489499,1999,RC,マンション
2020,Q4,川崎市川崎区,川崎駅前,office,188.9,110408460,584481,2007,SRC,マンション
2024,Q3,相模原市緑区,相原,land,146.2,85223196,582922,2015,S,事務所
2020,Q3,横浜市西区,平沼,land,91.0,35821331,393641,2014,W,事務所
2023,Q3,横浜市中区,山下,commercial,151.9,51042957,336030,1994,S,事務所
2022,Q1,横浜市都筑区,牛久保,commercial,51.4,27114836,527526,2004,W,戸建て
2023,Q4,川崎市幸区,小倉,land,228.2,45362965,198786,1996,SRC,マンション
2022,Q3,川崎市川崎区,港町,land,168.4,55610226,330227,2005,S,事務所
2022,Q3,相模原市緑区,中野,office,87.6,46266816,528160,1990,S,住宅
2021,Q2,横浜市西区,高島,commercial,214.7,63328985,294965,2015,S,住宅
2022,Q2,横浜市中区,元町,office,74.9,11790533,157417,2023,SRC,事務所
