city,district,station_name,line,daily_passengers,walk_min_to_center,station_type
横浜市西区,横浜駅,横浜,JR東海道線,450000,0,jr
横浜市西区,横浜駅,横浜,横浜市営地下鉄ブルーライン,200000,2,subway
横浜市西区,横浜駅,横浜,相鉄本線,180000,3,private
横浜市西区,横浜駅,横浜,京急本線,160000,5,private
横浜市西区,横浜駅,横浜,東急東横線,140000,4,private
横浜市中区,桜木町,桜木町,JR根岸線,85000,0,jr
横浜市中区,桜木町,馬車道,横浜市営地下鉄ブルーライン,38000,5,subway
横浜市中区,関内,関内,JR根岸線,62000,0,jr
横浜市中区,関内,関内,横浜市営地下鉄ブルーライン,55000,1,subway
横浜市港北区,新横浜,新横浜,JR東海道新幹線,260000,0,jr
横浜市港北区,新横浜,新横浜,JR横浜線,95000,2,jr
横浜市港北区,新横浜,新横浜,横浜市営地下鉄ブルーライン,85000,3,subway
横浜市都筑区,センター南,センター南,横浜市営地下鉄グリーンライン,75000,0,subway
横浜市都筑区,センター南,センター北,横浜市営地下鉄グリーンライン,68000,8,subway
横浜市青葉区,あざみ野,あざみ野,東急田園都市線,90000,0,private
横浜市青葉区,あざみ野,あざみ野,横浜市営地下鉄ブルーライン,55000,1,subway
横浜市保土ケ谷区,星川,星川,相鉄本線,32000,0,private
川崎市川崎区,川崎,川崎,JR東海道線,400000,0,jr
川崎市川崎区,川崎,川崎,JR南武線,220000,1,jr
川崎市川崎区,川崎,川崎,京急大師線,95000,4,private
川崎市中原区,武蔵小杉,武蔵小杉,JR横須賀線,180000,0,jr
川崎市中原区,武蔵小杉,武蔵小杉,東急東横線,220000,2,private
川崎市中原区,武蔵小杉,武蔵小杉,東急目黒線,120000,3,private
相模原市中央区,相模原,相模原,JR横浜線,55000,0,jr
藤沢市,藤沢,藤沢,JR東海道線,150000,0,jr
藤沢市,藤沢,藤沢,小田急江ノ島線,95000,2,private
藤沢市,藤沢,藤沢,江ノ島電鉄,28000,3,private
平塚市,平塚,平塚,JR東海道線,95000,0,jr
小田原市,小田原,小田原,JR東海道新幹線,130000,0,jr
小田原市,小田原,小田原,小田急小田原線,88000,2,private
