city,total_housing,total_vacant,vacancy_rate,for_rent,for_sale,other_vacant
"愛川町",12667,1710,13.5,0,130,0
"旭区",78296,10570,13.5,60,770,0
"綾瀬市",21111,2850,13.5,60,250,0
"伊勢原市",51926,7010,13.5,40,170,0
"磯子区",63852,8620,13.5,160,1600,0
"栄区",35111,4740,13.5,0,400,0
"横須賀市",212963,28750,13.5,1340,1530,0
"横浜市",1320741,178300,13.5,2400,22300,0
"海老名市",35333,4770,13.5,180,380,0
"開成町",4593,620,13.5,0,10,0
"鎌倉市",70074,9460,13.5,40,890,0
"茅ヶ崎市",68667,9270,13.5,40,580,0
"寒川町",13556,1830,13.5,70,60,0
"宮前区",77481,10460,13.5,20,2230,0
"金沢区",69037,9320,13.5,0,210,0
"戸塚区",86519,11680,13.5,80,2220,0
"厚木市",114444,15450,13.5,150,1140,0
"幸区",57407,7750,13.5,120,830,0
"港南区",62370,8420,13.5,270,1340,0
"港北区",138148,18650,13.5,80,2150,0
"高津区",80667,10890,13.5,260,3410,0
"座間市",53259,7190,13.5,30,650,0
"三浦市",35926,4850,13.5,20,610,0
"小田原市",98889,13350,13.5,0,610,0
"神奈川区",110963,14980,13.5,40,2300,0
"秦野市",75333,10170,13.5,0,440,0
"逗子市",37185,5020,13.5,0,250,0
"瀬谷区",40000,5400,13.5,0,90,0
"西区",52370,7070,13.5,420,690,0
"青葉区",83778,11310,13.5,110,2720,0
"川崎区",85481,11540,13.5,240,3940,0
"川崎市",546667,73800,13.5,900,14100,0
"泉区",34296,4630,13.5,0,470,0
"相模原市",268148,36200,13.5,1000,3200,0
"多摩区",93778,12660,13.5,80,840,0
"大井町",5407,730,13.5,0,10,0
"大磯町",12444,1680,13.5,0,220,0
"大和市",108593,14660,13.5,160,1070,0
"中央区",103111,13920,13.5,320,1290,0
"中区",76667,10350,13.5,40,260,0
"中原区",86148,11630,13.5,110,1160,0
"鶴見区",120593,16280,13.5,770,3200,0
"都筑区",45852,6190,13.5,20,1060,0
"湯河原町",41407,5590,13.5,140,830,0
"藤沢市",166000,22410,13.5,80,1400,0
"南区",89407,12070,13.5,180,1100,0
"南区",98148,13250,13.5,620,1010,0
"南足柄市",14519,1960,13.5,10,50,0
"二宮町",14889,2010,13.5,0,70,0
"平塚市",102000,13770,13.5,320,1660,0
"保土ケ谷区",85778,11580,13.5,60,1240,0
"麻生区",65852,8890,13.5,50,1630,0
"葉山町",15481,2090,13.5,0,180,0
"緑区",47852,6460,13.5,80,480,0
"緑区",67111,9060,13.5,30,870,0
