city,district,zone_type,coverage_ratio,floor_area_ratio,height_limit
"横浜市西区","浅間町","第1種低層住居専用地域",50,100,10
"横浜市中区","本牌","第1種低層住居専用地域",50,100,10
"横浜市都筑区","葛が谷","商業地域",80,400,
"川崎市幸区","新川崎","商業地域",80,400,
"川崎市川崎区","川崎","第1種低層住居専用地域",50,100,10
"相模原市緑区","中野","第1種低層住居専用地域",50,100,10
"横浜市西区","高島","第1種低層住居専用地域",50,100,10
"横浜市中区","関内","第1種低層住居専用地域",50,100,10
"横浜市都筑区","牛久保","第1種低層住居専用地域",50,100,10
"川崎市川崎区","大師","第1種低層住居専用地域",50,100,10
"相模原市緑区","橋本","商業地域",80,400,
"横浜市中区","山手","第1種低層住居専用地域",50,100,10
"横浜市都筑区","センター南","第1種低層住居専用地域",50,100,10
"川崎市幸区","幸町","第1種低層住居専用地域",50,100,10
"川崎市川崎区","川崎駅前","第1種低層住居専用地域",50,100,10
"相模原市緑区","相原","商業地域",80,400,
"横浜市西区","平沼","商業地域",80,400,
"横浜市中区","山下","商業地域",80,400,
"川崎市幸区","小倉","第1種低層住居専用地域",50,100,10
"川崎市川崎区","港町","商業地域",80,400,
"横浜市中区","元町","商業地域",80,400,
