city,district,facility_name,type,chain_brand,lat,lng,gfa_sqm
京都市下京区,京都駅前,イオンモール京都,mall,イオン,34.9875,135.7588,65000
京都市下京区,京都駅前,京都ポルタ,sc,ポルタ,34.9858,135.7581,28000
京都市下京区,京都駅前,キューブ京都,sc,キューブ,34.9862,135.7575,18500
京都市中京区,四条河原町,高島屋京都店,sc,高島屋,35.0038,135.7683,55000
京都市中京区,四条烏丸,大丸京都店,sc,大丸,35.0032,135.7598,42000
京都市中京区,烏丸御池,COCON烏丸,sc,COCON,35.0072,135.7578,12000
京都市中京区,四条河原町,スターバックス四条河原町店,cafe,スターバックス,35.0041,135.7688,185
京都市中京区,烏丸御池,スターバックス烏丸御池店,cafe,スターバックス,35.0068,135.7582,175
京都市下京区,京都駅前,スターバックス京都駅店,cafe,スターバックス,35.986,135.7578,210
京都市中京区,錦市場,ファミリーマート錦市場店,cvs,ファミリーマート,35.0038,135.7652,145
京都市下京区,四条烏丸,セブンイレブン四条烏丸店,cvs,セブンイレブン,35.003,135.7595,155
京都市東山区,祇園,ローソン祇園店,cvs,ローソン,35.0038,135.7748,140
京都市左京区,出町柳,ファミリーマート出町柳店,cvs,ファミリーマート,35.0268,135.7745,148
京都市下京区,京都駅前,マツモトキヨシ京都駅店,drugstore,マツモトキヨシ,34.9865,135.7585,320
京都市中京区,四条河原町,ウエルシア薬局四条河原町店,drugstore,ウエルシア,35.0039,135.7685,285
京都市伏見区,伏見桃山,ツルハドラッグ伏見桃山店,drugstore,ツルハドラッグ,34.9388,135.7688,380
京都市北区,北大路,ライフ北大路店,supermarket,ライフ,35.0468,135.7575,2800
京都市西京区,桂,イオン桂店,supermarket,イオン,34.9778,135.7218,5500
京都市山科区,山科,フレスコ山科店,supermarket,フレスco,34.9868,135.8085,1850
京都市伏見区,竹田,ロピア竹田店,supermarket,ロピア,34.9558,135.7618,3200
京都市右京区,嵐山,スターバックス嵐山店,cafe,スターバックス,35.0158,135.6778,220
京都市右京区,太秦,ファミリーマート太秦店,cvs,ファミリーマート,35.0178,135.7158,142
宇治市,宇治,イオンモール宇治,mall,イオン,34.8838,135.7998,72000
宇治市,宇治,スターバックス宇治店,cafe,スターバックス,34.8848,135.8008,180
亀岡市,亀岡,ロイヤルホームセンター亀岡店,sc,ロイヤルホームセンター,35.0128,135.5728,8500
城陽市,城陽,ライフ城陽店,supermarket,ライフ,34.8648,135.7818,2200
長岡京市,長岡京,阪急ファミリーストア長岡天神店,supermarket,阪急ファミリーストア,34.9248,135.6958,1850
長岡京市,長岡京,セブンイレブン長岡京駅前店,cvs,セブンイレブン,34.9238,135.6938,152
