city,district,total_establishments,major_company_count,employee_total,avg_commute_minutes,top_industry,industry_share,office_vacancy_rate
京都市下京区,烏丸四条,3850,145,82000,28,IT・ソフトウェア,22.5,8.2
京都市下京区,京都駅周辺,2680,98,55000,18,小売・サービス,28.0,9.5
京都市中京区,烏丸御池,2420,112,48500,25,IT・ソフトウェア,25.3,7.8
京都市中京区,四条河原町,3120,88,62000,22,小売・観光業,32.1,10.2
京都市東山区,祇園,1280,42,22000,32,観光業・旅館,45.8,5.2
京都市上京区,西陣,980,35,18500,30,伝統工芸・繊維,52.3,6.8
京都市左京区,百万遍,1450,55,28000,28,教育・研究,38.5,5.5
京都市北区,紫野,1180,32,21500,35,製造業・伝統工芸,30.2,7.2
京都市右京区,嵯峨,980,28,16500,38,観光業,42.5,6.0
京都市右京区,太秦,1350,48,25000,32,映画・メディア,28.5,8.5
京都市伏見区,伏見桃山,1680,62,32000,30,食品・酒造業,35.8,7.5
京都市伏見区,竹田,2150,75,42500,25,製造業,28.2,9.2
京都市山科区,山科,1850,58,36000,28,物流・製造業,31.5,8.8
京都市西京区,桂,2280,82,45000,30,電機・精密機器,25.8,7.5
京都市南区,東寺,1950,65,38500,22,物流・倉庫,30.2,10.5
宇治市,宇治,1620,55,32000,32,食品・化学,28.5,8.2
亀岡市,亀岡,1250,38,22500,38,製造業,32.5,9.5
城陽市,城陽,1080,32,19500,35,製造業,30.8,9.8
長岡京市,長岡京,1580,62,31000,28,電機・化学,27.5,7.2
長岡京市,大山崎,680,22,12500,35,食品・化学,38.5,8.5
