city,total_crimes,crime_rate_per_1000,theft_count,violent_count,fraud_count,safety_score,dominant_crime_type,year
京都市下京区,1820,14.8,1250,95,280,62.5,窃盗,2024
京都市中京区,1650,13.5,1120,88,262,64.2,窃盗,2024
京都市東山区,980,18.2,680,48,152,58.8,窃盗,2024
京都市上京区,680,8.5,455,38,112,74.2,窃盗,2024
京都市左京区,720,7.8,488,42,118,75.5,窃盗,2024
京都市北区,550,6.9,368,32,95,78.2,窃盗,2024
京都市右京区,820,8.2,555,45,135,73.5,窃盗,2024
京都市伏見区,1250,9.5,845,68,198,71.2,窃盗,2024
京都市山科区,680,8.8,455,38,112,73.0,窃盗,2024
京都市西京区,580,7.2,385,32,98,76.8,窃盗,2024
京都市南区,750,10.5,505,42,128,70.5,窃盗,2024
宇治市,980,10.2,658,55,158,71.0,窃盗,2024
亀岡市,520,8.5,348,30,88,73.5,窃盗,2024
