city,district,weekday_avg_flow,weekend_avg_flow,avg_stay_minutes,peak_hour,flow_trend,year
京都市下京区,京都駅前,220000,280000,42,8,increasing,2025
京都市下京区,四条烏丸,155000,195000,55,12,stable,2025
京都市下京区,五条,62000,74000,30,9,stable,2025
京都市中京区,四条河原町,195000,260000,68,14,increasing,2025
京都市中京区,烏丸御池,120000,145000,35,9,increasing,2025
京都市中京区,錦市場,78000,148000,50,12,increasing,2025
京都市中京区,三条,95000,132000,48,13,stable,2025
京都市東山区,祇園,68000,182000,95,15,increasing,2025
京都市東山区,清水寺周辺,45000,165000,120,11,increasing,2025
京都市東山区,知恩院前,22000,58000,75,10,increasing,2025
京都市上京区,今出川,38000,52000,40,9,stable,2025
京都市上京区,堀川今出川,28000,36000,35,10,stable,2025
京都市左京区,出町柳,52000,78000,55,10,stable,2025
京都市左京区,岡崎公園,30000,88000,90,11,increasing,2025
京都市左京区,銀閣寺道,18000,62000,85,10,increasing,2025
京都市北区,金閣寺道,12000,72000,90,10,increasing,2025
京都市北区,北大路,48000,58000,38,9,stable,2025
京都市右京区,嵐山,42000,155000,110,11,increasing,2025
京都市右京区,太秦,32000,44000,45,9,stable,2025
京都市伏見区,伏見稲荷大社,38000,145000,100,10,increasing,2025
京都市伏見区,近鉄丹波橋,72000,88000,30,8,stable,2025
京都市山科区,山科駅前,68000,75000,28,8,stable,2025
京都市西京区,桂,55000,62000,32,8,stable,2025
京都市南区,東寺,28000,55000,65,10,stable,2025
宇治市,宇治橋周辺,35000,82000,75,11,increasing,2025
