year,city,district,address,land_use,price_per_sqm,change_rate,lat,lng
2023,京都市中京区,河原町,河原町三条,commercial,5800000,2.1,35.0095,135.7683
2023,京都市中京区,烏丸,烏丸四条,commercial,4200000,1.8,35.0040,135.7579
2023,京都市中京区,新京極,新京極通四条上ル,commercial,4800000,2.0,35.0072,135.7681
2023,京都市中京区,堀川,堀川御池,residential,950000,1.2,35.0143,135.7487
2023,京都市下京区,京都駅前,東塩小路町,commercial,3800000,1.5,34.9858,135.7588
2023,京都市下京区,四条,四条烏丸,commercial,2900000,1.3,34.9985,135.7578
2023,京都市上京区,今出川,今出川通堀川,residential,420000,0.8,35.0244,135.7457
2023,京都市上京区,西陣,堀川上立売,residential,350000,0.6,35.0312,135.7423
2023,京都市東山区,祇園,祇園町南側,residential,620000,1.5,35.0033,135.7789
2023,京都市東山区,清水,五条橋東,residential,480000,1.2,34.9982,135.7804
2023,京都市左京区,岡崎,岡崎最勝寺町,residential,380000,0.7,35.0130,135.7825
2023,京都市左京区,北白川,北白川仕伏町,residential,310000,0.5,35.0281,135.7921
2023,京都市右京区,太秦,太秦安井柳通,residential,280000,0.5,35.0158,135.7143
2023,京都市右京区,嵯峨,嵯峨野宮ノ前町,residential,220000,0.4,35.0172,135.6983
2023,京都市伏見区,伏見,深草越後屋敷町,residential,230000,0.6,34.9421,135.7723
2023,京都市伏見区,醍醐,醍醐三宝町,residential,195000,0.4,34.9412,135.8012
2023,京都市南区,東寺,東寺道,residential,185000,0.5,34.9821,135.7523
2023,宇治市,宇治,宇治琵琶55,residential,195000,0.6,34.8882,135.7982
2023,宇治市,小倉,小倉町,residential,172000,0.4,34.8981,135.8021
2023,長岡京市,長岡京,神足1丁目,residential,255000,1.1,34.9241,135.7083
2023,長岡京市,長岡,長岡1丁目,residential,220000,0.9,34.9198,135.7012
2023,京田辺市,田辺,田辺中央1丁目,residential,200000,0.8,34.8122,135.7681
2024,京都市中京区,河原町,河原町三条,commercial,6000000,2.3,35.0095,135.7683
2024,京都市中京区,烏丸,烏丸四条,commercial,4350000,1.9,35.0040,135.7579
2024,京都市下京区,京都駅前,東塩小路町,commercial,3950000,1.7,34.9858,135.7588
2024,京都市東山区,祇園,祇園町南側,residential,650000,1.8,35.0033,135.7789
2024,京都市左京区,岡崎,岡崎最勝寺町,residential,390000,0.8,35.0130,135.7825
2024,京都市伏見区,伏見,深草越後屋敷町,residential,240000,0.7,34.9421,135.7723
2024,宇治市,宇治,宇治琵琶55,residential,202000,0.7,34.8882,135.7982
2024,長岡京市,長岡京,神足1丁目,residential,265000,1.2,34.9241,135.7083
2025,京都市中京区,河原町,河原町三条,commercial,6250000,2.5,35.0095,135.7683
2025,京都市中京区,烏丸,烏丸四条,commercial,4520000,2.1,35.0040,135.7579
2025,京都市下京区,京都駅前,東塩小路町,commercial,4100000,1.9,34.9858,135.7588
2025,京都市東山区,祇園,祇園町南側,residential,680000,2.0,35.0033,135.7789
2025,京都市左京区,岡崎,岡崎最勝寺町,residential,405000,1.0,35.0130,135.7825
2025,京都市伏見区,伏見,深草越後屋敷町,residential,252000,0.9,34.9421,135.7723
2025,宇治市,宇治,宇治琵琶55,residential,210000,0.9,34.8882,135.7982
2025,長岡京市,長岡京,神足1丁目,residential,275000,1.4,34.9241,135.7083
