city,district,facility_name,type,lat,lng,beds
京都市左京区,吉田,京都大学医学部附属病院,hospital,35.0258,135.7728,1121
京都市中京区,壬生,京都市立病院,hospital,35.0078,135.7468,700
京都市伏見区,深草,京都第一赤十字病院,hospital,34.9558,135.7658,578
京都市下京区,京都駅前,近畿大学病院京都,hospital,34.9888,135.7598,420
京都市北区,上賀茂,京都民医連中央病院,hospital,35.0638,135.7628,380
京都市右京区,太秦,京都桂病院,hospital,35.0098,135.7118,520
宇治市,宇治,宇治徳洲会病院,hospital,34.8908,135.8028,362
宇治市,槇島,宇治武田病院,hospital,34.8778,135.7978,285
亀岡市,亀岡,京都南病院亀岡分院,hospital,35.0108,135.5718,198
長岡京市,長岡京,長岡京病院,hospital,34.9268,135.6978,210
京都市上京区,今出川,今出川クリニック,clinic,35.0268,135.7558,
京都市中京区,三条,三条内科クリニック,clinic,35.0098,135.7678,
京都市東山区,祇園,祇園ファミリークリニック,clinic,35.0038,135.7748,
京都市左京区,出町柳,出町柳小児科クリニック,clinic,35.0278,135.7748,
京都市伏見区,伏見桃山,伏見内科循環器クリニック,clinic,34.9388,135.7688,
京都市山科区,山科,山科整形外科クリニック,clinic,34.9868,135.8088,
京都市西京区,桂,桂皮膚科クリニック,clinic,34.9768,135.7228,
京都市南区,東寺,東寺眼科クリニック,clinic,34.9788,135.7498,
宇治市,宇治,宇治さくらクリニック,clinic,34.8858,135.8018,
長岡京市,長岡京,長岡京ファミリークリニック,clinic,34.9248,135.6958,
京都市中京区,四条河原町,四条歯科医院,dental,35.0035,135.768,
京都市下京区,京都駅前,京都駅前歯科クリニック,dental,34.9868,135.7582,
京都市北区,北大路,北大路デンタルオフィス,dental,35.0468,135.7578,
京都市下京区,四条烏丸,ツルハドラッグ四条烏丸薬局,pharmacy,35.0028,135.7592,
京都市中京区,烏丸御池,日本調剤烏丸御池店,pharmacy,35.0068,135.7578,
宇治市,宇治,宇治調剤薬局,pharmacy,34.8868,135.8028,
