city,district,neighborhood,population,households,pop_density_sqkm,avg_age,child_ratio,elderly_ratio,daytime_pop_ratio
京都市中京区,河原町,河原町三条,1820,1250,22800,38.5,4.2,14.8,9.2
京都市中京区,烏丸,烏丸四条,1350,980,28500,37.8,3.8,13.2,10.5
京都市中京区,烏丸,烏丸御池,2210,1580,26400,40.1,5.1,15.5,8.8
京都市中京区,新京極,新京極四条上ル,980,720,31200,36.2,3.1,11.8,12.1
京都市下京区,京都駅前,東塩小路町,3580,2480,21500,39.2,5.8,16.2,6.5
京都市下京区,四条,四条烏丸西入,2840,2010,24800,38.9,4.5,14.5,7.8
京都市上京区,今出川,今出川通堀川東入,4120,2450,18200,43.5,7.2,22.5,2.8
京都市上京区,西陣,堀川上立売西入,3650,2180,16500,45.2,6.8,25.8,2.2
京都市東山区,祇園,祇園町南側,1580,1120,19800,41.8,4.1,22.1,5.5
京都市東山区,清水,五条橋東6丁目,2250,1380,15200,44.5,5.2,28.8,3.2
京都市東山区,三十三間堂,東山七条,3120,1850,17500,46.2,6.5,30.2,2.5
京都市左京区,岡崎,岡崎最勝寺町,4820,2680,12800,42.1,8.2,21.8,2.8
京都市左京区,北白川,北白川仕伏町,5680,2950,14200,38.5,12.5,18.2,2.2
京都市右京区,太秦,太秦安井西裏町,6250,3180,11500,44.8,9.1,25.5,2.0
京都市右京区,嵯峨,嵯峨野開町,5120,2580,8900,46.5,7.8,28.2,1.8
京都市伏見区,伏見,深草越後屋敷町,7850,3920,15800,44.2,9.5,26.8,2.5
京都市伏見区,醍醐,醍醐三宝町,9120,4380,13200,45.8,10.2,27.5,1.9
京都市南区,東寺,東寺道,4980,2780,18500,43.1,8.8,24.8,2.8
宇治市,宇治,宇治琵琶,8920,4250,14200,46.5,8.5,28.5,2.2
長岡京市,長岡京,神足1丁目,5680,2980,16800,42.8,11.2,24.2,2.8
