city,population_2020,population_2025,households_2020,households_2025,density_per_sqkm,aging_rate
京都市中京区,107375,110000,66000,68500,9850,20.5
京都市下京区,74199,77000,46200,48500,9120,21.2
京都市上京区,83103,82000,48500,48000,9380,24.8
京都市東山区,37558,36500,21500,21000,5280,30.5
京都市左京区,167400,163000,91000,89500,1820,24.5
京都市右京区,211617,208000,108000,107000,1280,26.8
京都市伏見区,280502,272000,138000,136000,3450,28.2
京都市南区,101620,99000,52000,51500,7250,27.5
宇治市,184441,179000,86500,85000,2580,29.8
長岡京市,83083,83500,39500,40000,3820,26.5
京田辺市,72764,74000,33500,34500,1580,25.8
