city,district,year,median_per_sqm,max_per_sqm,min_per_sqm,sample_lines
京都市中京区,河原町,2023,4640000,5104000,4176000,1
京都市中京区,烏丸,2023,3360000,3696000,3024000,1
京都市中京区,新京極,2023,3840000,4224000,3456000,1
京都市中京区,堀川,2023,760000,836000,684000,1
京都市下京区,京都駅前,2023,3040000,3344000,2736000,1
京都市下京区,四条,2023,2320000,2552000,2088000,1
京都市上京区,今出川,2023,336000,369600,302400,1
京都市上京区,西陣,2023,280000,308000,252000,1
京都市東山区,祇園,2023,496000,545600,446400,1
京都市東山区,清水,2023,384000,422400,345600,1
京都市左京区,岡崎,2023,304000,334400,273600,1
京都市左京区,北白川,2023,248000,272800,223200,1
京都市右京区,太秦,2023,224000,246400,201600,1
京都市右京区,嵯峨,2023,176000,193600,158400,1
京都市伏見区,伏見,2023,184000,202400,165600,1
京都市伏見区,醍醐,2023,156000,171600,140400,1
京都市南区,東寺,2023,148000,162800,133200,1
宇治市,宇治,2023,156000,171600,140400,1
宇治市,小倉,2023,137600,151360,123840,1
長岡京市,長岡京,2023,204000,224400,183600,1
長岡京市,長岡,2023,176000,193600,158400,1
京田辺市,田辺,2023,160000,176000,144000,1
京都市中京区,河原町,2024,4800000,5280000,4320000,1
京都市中京区,烏丸,2024,3480000,3828000,3132000,1
京都市下京区,京都駅前,2024,3160000,3476000,2844000,1
京都市東山区,祇園,2024,520000,572000,468000,1
京都市左京区,岡崎,2024,312000,343200,280800,1
京都市伏見区,伏見,2024,192000,211200,172800,1
宇治市,宇治,2024,161600,177760,145440,1
長岡京市,長岡京,2024,212000,233200,190800,1
京都市中京区,河原町,2025,5000000,5500000,4500000,1
京都市中京区,烏丸,2025,3616000,3977600,3254400,1
京都市下京区,京都駅前,2025,3280000,3608000,2952000,1
京都市東山区,祇園,2025,544000,598400,489600,1
京都市左京区,岡崎,2025,324000,356400,291600,1
京都市伏見区,伏見,2025,201600,221760,181440,1
宇治市,宇治,2025,168000,184800,151200,1
長岡京市,長岡京,2025,220000,242000,198000,1
