city,district,elementary_school,junior_high_school,education_score,university_advancement_rate,nearby_school_count,avg_deviation_value
京都市左京区,吉田,吉田小学校,京都市立錦林中学校,88,78.5,12,62.4
京都市左京区,岡崎,岡崎小学校,京都市立岡崎中学校,86,76.2,11,61.8
京都市上京区,御所南,御所南小学校,京都市立二条中学校,91,82.3,14,64.5
京都市上京区,室町,室町小学校,京都市立花園中学校,85,74.8,10,60.2
京都市中京区,烏丸,烏丸小学校,京都市立育渡中学校,83,72.0,9,59.5
京都市中京区,本能,本能小学校,京都市立嵯峨中学校,82,71.5,8,58.8
京都市下京区,梅小路,梅小路小学校,京都市立下京中学校,79,68.2,8,57.0
京都市下京区,醒泉,醒泉小学校,京都市立西ノ京中学校,78,67.4,7,56.5
京都市東山区,清水,清水小学校,京都市立洛東中学校,80,69.5,7,57.8
京都市北区,紫明,紫明小学校,京都市立紫野中学校,84,73.5,10,60.8
京都市北区,賀茂,賀茂小学校,京都市立加茂中学校,82,71.2,9,59.2
京都市右京区,嵯峨,嵯峨小学校,京都市立嵯峨中学校,81,70.0,9,58.5
京都市右京区,太秦,太秦小学校,京都市立太秦中学校,79,68.0,7,56.8
京都市伏見区,深草,深草小学校,京都市立深草中学校,80,69.8,8,57.5
京都市伏見区,醍醐,醍醐小学校,京都市立醍醐中学校,77,66.5,7,55.8
京都市山科区,山科,山科小学校,京都市立山科中学校,78,67.0,8,56.2
京都市西京区,桂,桂小学校,京都市立桂中学校,82,71.0,9,59.0
京都市西京区,松尾,松尾小学校,京都市立松尾中学校,80,69.2,8,57.2
京都市南区,東寺,東寺小学校,京都市立陶化中学校,75,64.5,6,54.5
宇治市,宇治,宇治小学校,宇治市立宇治中学校,81,70.5,9,58.5
宇治市,槇島,槇島小学校,宇治市立槇島中学校,78,67.8,7,56.0
亀岡市,亀岡,亀岡小学校,亀岡市立亀岡中学校,74,63.0,6,53.5
城陽市,城陽,城陽小学校,城陽市立城陽中学校,76,65.5,7,54.8
長岡京市,長岡京,長岡京小学校,長岡京市立長岡京中学校,83,72.5,9,60.0
長岡京市,神足,神足小学校,長岡京市立長岡中学校,81,70.2,8,58.5
