year,quarter,city,district,property_type,area_sqm,price_total,price_per_sqm,building_year,structure,use
2020,Q1,京都市,京都市中京区,commercial,100,70000000,700000,2010,SRC,店舗
2020,Q2,京都市,京都市左京区,residential,80,40000000,500000,2005,RC,マンション
2020,Q3,京都市,京都市下京区,land,150,90000000,600000,0,,
2020,Q4,京都市,京都市伏見区,residential,90,27000000,300000,2000,RC,マンション
2021,Q1,京都市,京都市中京区,office,200,140000000,700000,2018,SRC,事務所
2021,Q2,京都市,京都市左京区,land,120,72000000,600000,0,,
2021,Q3,京都市,京都市下京区,residential,65,32500000,500000,2015,RC,マンション
2021,Q4,京都市,京都市伏見区,commercial,130,39000000,300000,2003,S,店舗
2022,Q1,京都市,京都市中京区,residential,70,49000000,700000,2020,RC,マンション
2022,Q2,京都市,京都市左京区,office,160,80000000,500000,2016,SRC,事務所
2022,Q3,京都市,京都市下京区,commercial,110,77000000,700000,2012,SRC,店舗
2022,Q4,京都市,京都市伏見区,land,200,50000000,250000,0,,
2023,Q1,京都市,京都市中京区,land,90,63000000,700000,0,,
2023,Q2,京都市,京都市左京区,residential,75,37500000,500000,2022,RC,マンション
2023,Q3,京都市,京都市下京区,office,140,98000000,700000,2021,SRC,事務所
2023,Q4,京都市,京都市伏見区,residential,100,30000000,300000,1998,W,戸建て
2024,Q1,京都市,京都市中京区,commercial,80,56000000,700000,2023,SRC,店舗
2024,Q2,京都市,京都市左京区,land,130,78000000,600000,0,,
2024,Q3,京都市,京都市下京区,residential,60,42000000,700000,2024,RC,マンション
2024,Q4,京都市,京都市伏見区,office,150,45000000,300000,2010,RC,事務所
2024,Q1,京都市,京都市左京区,commercial,95,47500000,500000,2019,S,店舗
2024,Q2,京都市,京都市中京区,residential,50,35000000,700000,2024,RC,マンション
