city,district,station_name,line,daily_passengers,walk_min_to_center,station_type
京都市下京区,京都駅前,京都駅,JR東海道本線,230000,0,jr
京都市下京区,京都駅前,京都駅,近鉄京都線,230000,0,private
京都市下京区,四条烏丸,四条駅,京都市営地下鉄烏丸線,128000,8,subway
京都市中京区,烏丸御池,烏丸御池駅,京都市営地下鉄烏丸線,98000,5,subway
京都市中京区,烏丸御池,烏丸御池駅,京都市営地下鉄東西線,98000,5,subway
京都市中京区,四条河原町,四条駅,阪急京都線,115000,3,private
京都市中京区,三条,三条京阪駅,京阪本線,72000,10,private
京都市中京区,三条,三条駅,京都市営地下鉄東西線,68000,10,subway
京都市東山区,祇園,祇園四条駅,京阪本線,82000,15,private
京都市左京区,出町柳,出町柳駅,叡山電鉄叡山本線,28000,25,private
京都市左京区,出町柳,出町柳駅,京阪鴨東線,45000,25,private
京都市北区,北大路,北大路駅,京都市営地下鉄烏丸線,42000,30,subway
京都市上京区,今出川,今出川駅,京都市営地下鉄烏丸線,35000,20,subway
京都市右京区,嵐山,嵐山駅,阪急嵐山線,22000,40,private
京都市右京区,嵐山,嵐山駅,嵯峨野観光線,18000,40,private
京都市右京区,太秦,太秦天神川駅,京都市営地下鉄東西線,38000,35,subway
京都市伏見区,伏見桃山,近鉄丹波橋駅,近鉄京都線,68000,22,private
京都市伏見区,竹田,竹田駅,京都市営地下鉄烏丸線,55000,18,subway
京都市伏見区,竹田,竹田駅,近鉄京都線,55000,18,private
京都市山科区,山科,山科駅,JR琵琶湖線,72000,20,jr
京都市山科区,山科,山科駅,京都市営地下鉄東西線,55000,20,subway
京都市西京区,桂,桂駅,阪急京都線,85000,28,private
京都市西京区,桂,長岡天神駅,阪急京都線,42000,35,private
京都市南区,東寺,東寺駅,近鉄京都線,38000,15,private
宇治市,宇治,宇治駅,JR奈良線,35000,0,jr
宇治市,宇治,宇治駅,近鉄京都線,28000,8,private
亀岡市,亀岡,亀岡駅,JR山陰本線,22000,0,jr
長岡京市,長岡京,長岡京駅,JR東海道本線,38000,0,jr
