city,total_housing,total_vacant,vacancy_rate,for_rent,for_sale,other_vacant
"綾部市",26519,3580,13.5,20,80,0
"右京区",89333,12060,13.5,160,1330,0
"宇治市",61333,8280,13.5,440,1200,0
"下京区",61407,8290,13.5,50,1720,0
"亀岡市",39111,5280,13.5,30,40,0
"久御山町",6593,890,13.5,160,100,0
"宮津市",20000,2700,13.5,0,110,0
"京丹後市",23333,3150,13.5,0,60,0
"京田辺市",17333,2340,13.5,20,430,0
"京都市",785185,106000,13.5,2600,13700,0
"向日市",16889,2280,13.5,0,150,0
"左京区",83778,11310,13.5,440,2590,0
"山科区",75185,10150,13.5,250,1350,0
"上京区",42519,5740,13.5,110,1290,0
"城陽市",21481,2900,13.5,80,180,0
"精華町",7259,980,13.5,0,90,0
"西京区",50963,6880,13.5,20,620,0
"大山崎町",6667,900,13.5,110,170,0
"中京区",50889,6870,13.5,140,1190,0
"長岡京市",25037,3380,13.5,70,300,0
"東山区",38667,5220,13.5,370,930,0
"南区",62370,8420,13.5,70,1730,0
"南丹市",23778,3210,13.5,60,430,0
"八幡市",23556,3180,13.5,0,560,0
"舞鶴市",54074,7300,13.5,160,160,0
"伏見区",159556,21540,13.5,1020,760,0
"福知山市",54074,7300,13.5,120,50,0
"北区",70667,9540,13.5,20,240,0
"木津川市",18444,2490,13.5,20,390,0
"与謝野町",9333,1260,13.5,0,10,0
