city,district,facility_name,type,chain_brand,lat,lng,gfa_sqm
大阪市北区,梅田,阪急梅田本店,mall,,34.7025,135.4982,80000
大阪市北区,梅田,グランフロント大阪,sc,,34.7052,135.4946,67000
大阪市北区,梅田,ルクア大阪,sc,,34.7023,135.4967,52000
大阪市北区,梅田,ヨドバシ梅田,mall,,34.7028,135.4959,64000
大阪市北区,梅田,セブンイレブン梅田店,cvs,セブンイレブン,34.7022,135.4989,120
大阪市北区,梅田,ローソン梅田店,cvs,ローソン,34.7030,135.4975,115
大阪市北区,梅田,マツモトキヨシ梅田店,drugstore,マツモトキヨシ,34.7018,135.4980,260
大阪市北区,梅田,スターバックス梅田店,cafe,スターバックス,34.7032,135.4970,180
大阪市中央区,心斎橋,大丸心斎橋店,mall,,34.6723,135.5013,65000
大阪市中央区,心斎橋,パルコ心斎橋,sc,,34.6719,135.5005,25000
大阪市中央区,心斎橋,セブンイレブン心斎橋店,cvs,セブンイレブン,34.6720,135.5010,115
大阪市中央区,心斎橋,スターバックス心斎橋店,cafe,スターバックス,34.6725,135.5015,160
大阪市中央区,心斎橋,スギ薬局心斎橋店,drugstore,スギ薬局,34.6718,135.5008,290
大阪市中央区,本町,ファミリーマート本町店,cvs,ファミリーマート,34.6845,135.5020,120
大阪市浪速区,難波,なんばパークス,sc,,34.6624,135.5025,60000
大阪市浪速区,難波,なんばCITY,sc,,34.6630,135.5012,44000
大阪市浪速区,難波,マクドナルド難波店,fast_food,マクドナルド,34.6628,135.5018,200
大阪市浪速区,難波,セブンイレブン難波店,cvs,セブンイレブン,34.6622,135.5022,120
大阪市浪速区,難波,ドン・キホーテ難波店,drugstore,ドン・キホーテ,34.6635,135.5016,4500
大阪市天王寺区,天王寺,あべのハルカス近鉄百貨店,sc,,34.6462,135.5139,72000
大阪市天王寺区,天王寺,あべのキューズモール,mall,,34.6458,135.5132,48000
大阪市天王寺区,天王寺,セブンイレブン天王寺店,cvs,セブンイレブン,34.6460,135.5135,120
大阪市天王寺区,天王寺,スギ薬局天王寺店,drugstore,スギ薬局,34.6455,135.5130,300
大阪市淀川区,新大阪,セブンイレブン新大阪店,cvs,セブンイレブン,34.7322,135.5000,120
大阪市淀川区,新大阪,ローソン新大阪駅前店,cvs,ローソン,34.7318,135.5005,110
豊中市,千里中央,せんちゅうパル,sc,,34.8045,135.4712,22000
豊中市,千里中央,セブンイレブン千里中央店,cvs,セブンイレブン,34.8042,135.4715,115
吹田市,江坂,ガーデンシティ千里丘,sc,,34.7620,135.4925,18000
吹田市,江坂,ファミリーマート江坂店,cvs,ファミリーマート,34.7618,135.4928,120
東大阪市,荒本,イオンモール東大阪,mall,,34.6785,135.5920,55000
東大阪市,荒本,セブンイレブン荒本店,cvs,セブンイレブン,34.6782,135.5918,115
堺市堺区,堺,イオンモール堺北花田,mall,,34.6038,135.4872,75000
堺市堺区,堺,セブンイレブン堺東駅前店,cvs,セブンイレブン,34.5735,135.4835,120
