city,district,total_establishments,major_company_count,employee_total,avg_commute_minutes,top_industry,industry_share,office_vacancy_rate
大阪市北区,梅田,4850,320,285000,38,金融・保険,28.4,3.2
大阪市北区,天満,1240,62,42000,32,卸売・小売,22.1,5.8
大阪市中央区,本町,5120,410,312000,35,金融・保険,31.2,2.8
大阪市中央区,難波,3680,185,148000,28,卸売・小売,35.6,4.5
大阪市中央区,心斎橋,2940,140,112000,26,卸売・小売,38.2,5.1
大阪市中央区,淀屋橋,3250,220,195000,34,金融・保険,29.8,3.5
大阪市西区,阿波座,1820,95,68000,30,情報通信,24.5,6.2
大阪市西区,九条,780,28,22000,28,製造業,20.3,8.4
大阪市天王寺区,天王寺,2150,110,88000,32,卸売・小売,30.1,5.6
大阪市福島区,福島,1350,58,48000,30,情報通信,22.8,6.8
大阪市淀川区,新大阪,3420,195,162000,36,情報通信,26.4,4.2
大阪市淀川区,十三,920,32,28000,28,卸売・小売,25.0,7.5
大阪市浪速区,大国町,680,18,15000,25,卸売・小売,28.5,9.2
大阪市生野区,鶴橋,950,22,18500,24,卸売・小売,32.4,8.8
大阪市東成区,今里,620,14,12000,26,製造業,25.6,10.2
大阪市住吉区,我孫子,580,12,11000,30,卸売・小売,22.0,9.5
大阪府豊中市,豊中,2680,145,118000,40,製造業,24.8,5.2
大阪府豊中市,蛍池,1240,68,52000,38,情報通信,22.5,6.4
大阪府吹田市,吹田,2950,182,142000,42,製造業,28.6,4.8
大阪府吹田市,江坂,2180,128,98000,38,情報通信,30.2,5.5
大阪府東大阪市,布施,1850,72,65000,35,製造業,35.8,7.2
大阪府堺市,堺東,2450,98,88000,40,製造業,32.4,6.8
