city,total_crimes,crime_rate_per_1000,theft_count,violent_count,fraud_count,safety_score,dominant_crime_type,year
大阪市北区,3820,48.2,2650,285,420,52,窃盗,2024
大阪市中央区,4150,52.8,2980,310,485,48,窃盗,2024
大阪市西区,1580,28.4,1120,148,185,65,窃盗,2024
大阪市天王寺区,2240,32.6,1580,195,265,60,窃盗,2024
大阪市浪速区,2650,42.1,1820,228,315,55,窃盗,2024
大阪市福島区,1180,22.5,820,112,142,72,窃盗,2024
大阪市淀川区,2480,26.8,1720,198,295,65,窃盗,2024
大阪市東成区,1420,25.4,985,135,168,68,窃盗,2024
大阪市生野区,1850,28.6,1285,168,218,63,窃盗,2024
大阪市鶴見区,1020,18.2,718,98,128,76,窃盗,2024
大阪市住吉区,1380,20.5,965,128,162,74,窃盗,2024
大阪市此花区,980,20.8,685,95,118,72,窃盗,2024
大阪府豊中市,2150,18.5,1520,185,248,75,窃盗,2024
大阪府吹田市,1820,15.8,1285,158,215,78,窃盗,2024
大阪府東大阪市,3480,28.2,2450,285,398,62,窃盗,2024
大阪府堺市,4250,25.4,3020,348,488,65,窃盗,2024
大阪府枚方市,2380,20.2,1685,215,278,73,窃盗,2024
大阪府八尾市,1650,22.8,1165,158,198,68,窃盗,2024
