city,seismic_intensity_30yr,liquefaction_risk,slope_failure_risk,overall_risk_score,notes
中央区,68,low,medium,5,上町断層帯による直下型地震リスク
北区,62,medium,low,3,上町断層帯による直下型地震リスク
浪速区,85,low,low,7,上町断層帯による直下型地震リスク
天王寺区,85,medium,low,8,上町断層帯による直下型地震リスク
阿倍野区,83,high,low,10,上町断層帯による直下型地震リスク
西区,65,high,low,6,上町断層帯による直下型地震リスク
福島区,79,low,low,6,上町断層帯による直下型地震リスク
都島区,83,medium,high,10,上町断層帯による直下型地震リスク
淀川区,85,low,medium,8,上町断層帯による直下型地震リスク
堺市堺区,82,low,low,6,上町断層帯による直下型地震リスク
堺市中区,85,low,medium,8,上町断層帯による直下型地震リスク
東大阪市,85,medium,low,8,上町断層帯による直下型地震リスク
豊中市,85,low,low,7,上町断層帯による直下型地震リスク
吹田市,67,medium,low,4,上町断層帯による直下型地震リスク
高槻市,73,high,low,8,上町断層帯による直下型地震リスク
枚方市,79,high,low,9,上町断層帯による直下型地震リスク
