city,district,weekday_avg_flow,weekend_avg_flow,avg_stay_minutes,peak_hour,flow_trend,year
大阪市北区,梅田,350000,290000,62,8,増加,2025
大阪市北区,天満,95000,78000,48,9,横ばい,2025
大阪市北区,扇町,72000,68000,41,8,横ばい,2025
大阪市中央区,難波,320000,310000,74,13,増加,2025
大阪市中央区,心斎橋,280000,295000,82,14,増加,2025
大阪市中央区,本町,185000,92000,55,9,横ばい,2025
大阪市中央区,淀屋橋,162000,85000,50,9,増加,2025
大阪市西区,阿波座,88000,54000,44,9,横ばい,2025
大阪市西区,九条,64000,58000,38,8,減少,2025
大阪市天王寺区,天王寺,210000,185000,68,11,増加,2025
大阪市天王寺区,阿倍野,145000,138000,56,12,増加,2025
大阪市浪速区,大国町,75000,82000,45,10,横ばい,2025
大阪市浪速区,日本橋,98000,118000,65,13,増加,2025
大阪市福島区,福島,82000,72000,42,8,横ばい,2025
大阪市淀川区,新大阪,178000,112000,58,8,増加,2025
大阪市淀川区,十三,96000,88000,47,8,横ばい,2025
大阪市東成区,今里,54000,48000,35,9,減少,2025
大阪市生野区,鶴橋,78000,92000,52,12,横ばい,2025
大阪市鶴見区,横堤,42000,48000,30,9,横ばい,2025
大阪市住吉区,我孫子,55000,58000,36,9,減少,2025
大阪市此花区,桜島,38000,35000,28,8,減少,2025
大阪府豊中市,豊中,132000,115000,54,8,増加,2025
大阪府豊中市,蛍池,68000,62000,40,8,横ばい,2025
大阪府吹田市,吹田,118000,102000,50,8,増加,2025
大阪府吹田市,江坂,95000,78000,46,9,増加,2025
大阪府東大阪市,布施,88000,82000,44,9,横ばい,2025
大阪府枚方市,枚方,82000,88000,48,9,横ばい,2025
大阪府堺市,堺東,95000,105000,52,10,横ばい,2025
