city,district,facility_name,type,lat,lng,beds
大阪市北区,梅田,大阪大学医学部附属病院,hospital,34.7025,135.4985,1060
大阪市北区,梅田,大阪北野病院,hospital,34.7028,135.4990,520
大阪市北区,梅田,梅田クリニック,clinic,34.7020,135.4980,
大阪市北区,梅田,スギ薬局調剤梅田店,pharmacy,34.7018,135.4982,
大阪市北区,梅田,梅田デンタルクリニック,dental,34.7015,135.4978,
大阪市中央区,心斎橋,大阪市立大学医学部附属病院,hospital,34.6720,135.5015,1000
大阪市中央区,心斎橋,心斎橋クリニック,clinic,34.6722,135.5012,
大阪市中央区,心斎橋,スギ薬局調剤心斎橋店,pharmacy,34.6718,135.5008,
大阪市中央区,心斎橋,心斎橋歯科クリニック,dental,34.6716,135.5006,
大阪市浪速区,難波,近畿大学病院なんば分院,clinic,34.6625,135.5022,
大阪市浪速区,難波,難波クリニック,clinic,34.6628,135.5018,
大阪市浪速区,難波,難波調剤薬局,pharmacy,34.6620,135.5020,
大阪市天王寺区,天王寺,大阪赤十字病院,hospital,34.6640,135.5150,850
大阪市天王寺区,天王寺,天王寺クリニック,clinic,34.6462,135.5140,
大阪市天王寺区,天王寺,スギ薬局調剤天王寺店,pharmacy,34.6458,135.5135,
大阪市天王寺区,天王寺,天王寺デンタルクリニック,dental,34.6455,135.5132,
大阪市淀川区,新大阪,淀川キリスト教病院,hospital,34.7330,135.5002,500
大阪市淀川区,新大阪,新大阪クリニック,clinic,34.7320,135.5000,
大阪市淀川区,新大阪,新大阪調剤薬局,pharmacy,34.7318,135.4998,
大阪市都島区,都島,大阪市立総合医療センター,hospital,34.7108,135.5200,1070
大阪市都島区,都島,都島クリニック,clinic,34.7105,135.5198,
大阪市都島区,都島,都島調剤薬局,pharmacy,34.7102,135.5195,
豊中市,豊中,豊中市立豊中病院,hospital,34.7810,135.4698,480
豊中市,豊中,豊中クリニック,clinic,34.7812,135.4702,
豊中市,豊中,豊中調剤薬局,pharmacy,34.7808,135.4700,
吹田市,江坂,吹田市民病院,hospital,34.7628,135.4932,450
吹田市,江坂,江坂クリニック,clinic,34.7622,135.4928,
堺市堺区,堺,堺市立総合医療センター,hospital,34.5732,135.4832,640
堺市堺区,堺,堺クリニック,clinic,34.5728,135.4830,
堺市堺区,堺,堺調剤薬局,pharmacy,34.5725,135.4828,
