city,population_2020,population_2025,households_2020,households_2025,density_per_sqkm,aging_rate
中央区,106702,114500,65800,72100,11580,17.2
北区,136602,142800,79200,84500,12850,19.8
浪速区,76553,82100,51200,55800,17250,20.1
天王寺区,82544,85900,47800,50500,18420,21.3
阿倍野区,109966,112200,57600,59800,15280,23.5
西区,103820,112400,63400,69800,15120,16.8
福島区,78472,83600,44200,47800,17890,18.5
都島区,107497,110800,60100,63200,16720,21.8
淀川区,182854,187300,108500,113200,14680,20.4
堺市堺区,148205,146300,68500,69100,9280,26.8
堺市中区,124516,122800,50200,50800,7450,27.3
東大阪市,491803,483200,232100,234500,12890,28.2
豊中市,401558,404200,188500,193800,10720,25.1
吹田市,385987,395100,179800,187200,11280,22.8
高槻市,351829,346500,158200,159400,5280,28.5
枚方市,400526,392800,179600,180200,5910,28.9
