city,district,year,median_per_sqm,max_per_sqm,min_per_sqm,sample_lines
中央区,心斎橋,2024,10240000,11264000,9216000,1
中央区,本町,2024,4160000,4576000,3744000,1
北区,梅田,2024,11600000,12760000,10440000,1
北区,中之島,2024,7120000,7832000,6408000,1
北区,茶屋町,2024,5760000,6336000,5184000,1
浪速区,難波,2024,7840000,8624000,7056000,1
天王寺区,上本町,2024,2720000,2992000,2448000,1
天王寺区,天王寺,2024,1480000,1628000,1332000,1
阿倍野区,阿倍野,2024,3280000,3608000,2952000,1
西区,堀江,2024,1024000,1126400,921600,1
西区,新町,2024,1160000,1276000,1044000,1
福島区,福島,2024,896000,985600,806400,1
都島区,都島,2024,544000,598400,489600,1
淀川区,新大阪,2024,3040000,3344000,2736000,1
淀川区,十三,2024,496000,545600,446400,1
中央区,心斎橋,2025,10640000,11704000,9576000,1
北区,梅田,2025,12080000,13288000,10872000,1
北区,中之島,2025,7360000,8096000,6624000,1
浪速区,難波,2025,8160000,8976000,7344000,1
天王寺区,上本町,2025,2800000,3080000,2520000,1
阿倍野区,阿倍野,2025,3400000,3740000,3060000,1
西区,堀江,2025,1056000,1161600,950400,1
福島区,福島,2025,928000,1020800,835200,1
淀川区,新大阪,2025,3160000,3476000,2844000,1
堺市堺区,堺,2023,416000,457600,374400,1
堺市中区,深井,2023,156000,171600,140400,1
東大阪市,荒本,2023,304000,334400,273600,1
東大阪市,長瀬,2023,180000,198000,162000,1
豊中市,豊中,2023,384000,422400,345600,1
豊中市,千里中央,2023,496000,545600,446400,1
吹田市,江坂,2024,1000000,1100000,900000,1
吹田市,千里山,2024,328000,360800,295200,1
高槻市,高槻,2024,464000,510400,417600,1
高槻市,富田,2024,228000,250800,205200,1
枚方市,枚方,2024,336000,369600,302400,1
枚方市,樟葉,2024,280000,308000,252000,1
