city,district,elementary_school,junior_high_school,education_score,university_advancement_rate,nearby_school_count,avg_deviation_value
大阪市北区,梅田,大阪市立梅田小学校,大阪市立扇町中学校,88,72.5,8,62.4
大阪市北区,天満,大阪市立天満小学校,大阪市立北稜中学校,84,68.2,7,60.1
大阪市北区,扇町,大阪市立扇町小学校,大阪市立大淀中学校,82,66.8,6,59.3
大阪市中央区,難波,大阪市立難波小学校,大阪市立中央中学校,79,62.4,5,57.8
大阪市中央区,心斎橋,大阪市立南小学校,大阪市立東中学校,78,60.5,5,57.2
大阪市中央区,本町,大阪市立本町小学校,大阪市立西中学校,81,64.3,6,58.6
大阪市中央区,淀屋橋,大阪市立靱小学校,大阪市立北中学校,80,63.0,6,58.1
大阪市西区,阿波座,大阪市立阿波座小学校,大阪市立西中学校,75,58.0,5,55.9
大阪市西区,九条,大阪市立九条小学校,大阪市立港中学校,70,54.2,4,53.4
大阪市天王寺区,天王寺,大阪市立天王寺小学校,大阪市立天王寺中学校,83,67.5,7,60.8
大阪市天王寺区,阿倍野,大阪市立阿倍野小学校,大阪市立阿倍野中学校,80,64.0,6,58.7
大阪市浪速区,大国町,大阪市立敷津小学校,大阪市立難波中学校,68,52.1,4,51.8
大阪市浪速区,日本橋,大阪市立芦辺小学校,大阪市立浪速中学校,70,53.8,4,52.5
大阪市福島区,福島,大阪市立福島小学校,大阪市立福島中学校,76,59.5,5,56.3
大阪市淀川区,新大阪,大阪市立新大阪小学校,大阪市立淀川中学校,78,61.2,6,57.5
大阪市淀川区,十三,大阪市立十三小学校,大阪市立十三中学校,74,57.0,5,55.1
大阪市東成区,今里,大阪市立今里小学校,大阪市立東成中学校,66,50.3,3,50.2
大阪市生野区,鶴橋,大阪市立鶴橋小学校,大阪市立生野中学校,65,49.8,3,49.8
大阪市鶴見区,横堤,大阪市立横堤小学校,大阪市立鶴見中学校,72,55.5,4,54.0
大阪市住吉区,我孫子,大阪市立我孫子小学校,大阪市立住吉中学校,73,56.2,5,54.5
大阪市此花区,桜島,大阪市立桜島小学校,大阪市立此花中学校,62,47.0,3,48.3
大阪府豊中市,豊中,豊中市立豊中小学校,豊中市立第一中学校,87,71.8,9,62.0
大阪府豊中市,蛍池,豊中市立蛍池小学校,豊中市立蛍池中学校,85,69.5,8,61.2
大阪府吹田市,吹田,吹田市立吹田小学校,吹田市立吹田中学校,89,73.5,9,63.1
大阪府吹田市,江坂,吹田市立江坂小学校,吹田市立第四中学校,86,70.8,8,61.8
大阪府東大阪市,布施,東大阪市立布施小学校,東大阪市立布施中学校,74,57.2,5,55.3
大阪府枚方市,枚方,枚方市立枚方小学校,枚方市立第一中学校,77,60.0,6,56.8
大阪府堺市,堺東,堺市立堺小学校,堺市立西中学校,75,58.5,6,55.8
