year,quarter,city,district,property_type,area_sqm,price_total,price_per_sqm,building_year,structure,use
2023,Q2,大阪市北区,天満,commercial,91.8,23989543,261324,2012,RC,事務所
2020,Q4,大阪市中央区,心斋橋,commercial,37.8,27688348,732496,1980,SRC,住宅
2020,Q2,大阪市西区,千代崎,land,52.0,41462044,797347,1990,RC,戸建て
2023,Q3,大阪市浪速区,難波中,office,71.0,37590595,529445,1990,S,マンション
2022,Q4,大阪市天王寺区,上本町,office,234.0,64599444,276066,1975,W,戸建て
2020,Q1,大阪市住吉区,清水丘,commercial,138.8,47037932,338890,1997,RC,店舗
2022,Q2,大阪市北区,扇町,land,212.6,109959271,517212,2014,RC,戸建て
2020,Q2,大阪市中央区,本町,office,51.0,15923985,312235,2022,SRC,事務所
2024,Q2,大阪市西区,新町,office,70.8,33757935,476807,2007,W,事務所
2020,Q4,大阪市浪速区,難波中,office,34.9,19186589,549759,1983,S,店舗
2024,Q4,大阪市天王寺区,餅差町,residential,50.2,17885958,356294,2009,RC,事務所
2024,Q2,大阪市住吉区,清水丘,land,53.7,28097558,523232,1998,RC,事務所
2021,Q1,大阪市北区,天神橋,office,200.5,125536458,626117,2014,SRC,店舗
2021,Q4,大阪市中央区,難波,residential,65.4,35860193,548321,2001,SRC,事務所
2020,Q4,大阪市西区,江戸堀,residential,218.2,94532531,433238,1987,W,事務所
2021,Q2,大阪市浪速区,元町,residential,173.5,107191943,617821,1996,S,住宅
2022,Q4,大阪市天王寺区,夕陽丘,office,236.3,75839067,320944,1991,SRC,戸建て
2020,Q1,大阪市住吉区,我孯子,land,102.8,54372359,528914,2002,RC,マンション
2021,Q3,大阪市北区,天満,residential,184.5,37227118,201773,2008,SRC,事務所
2020,Q3,大阪市中央区,谷町,office,174.3,57637349,330679,2021,S,戸建て
2023,Q3,大阪市西区,新町,land,181.9,142126291,781343,1983,SRC,マンション
2021,Q3,大阪市浪速区,桜川,land,148.3,29723027,200425,1994,S,店舗
2024,Q3,大阪市天王寺区,餅差町,land,124.4,52755800,424082,2007,W,店舗
2022,Q3,大阪市住吉区,住吉,residential,209.1,93316520,446277,2018,S,店舗
2021,Q1,大阪市北区,天神橋,residential,80.1,55927101,698216,2014,RC,マンション
2024,Q2,大阪市中央区,谷町,land,136.2,62084863,455836,1984,RC,住宅
2021,Q2,大阪市西区,九条,land,36.3,16745298,461303,1982,W,店舗
