city,district,station_name,line,daily_passengers,walk_min_to_center,station_type
大阪市北区,梅田,大阪,JR環状線,400000,0,jr
大阪市北区,梅田,梅田,大阪メトロ御堂筋線,380000,2,subway
大阪市北区,梅田,西梅田,大阪メトロ四つ橋線,95000,4,subway
大阪市北区,梅田,東梅田,大阪メトロ谷町線,88000,5,subway
大阪市北区,梅田,大阪梅田,阪急京都本線,310000,3,private
大阪市北区,梅田,大阪梅田,阪神本線,185000,4,private
大阪市中央区,心斎橋,心斎橋,大阪メトロ御堂筋線,180000,0,subway
大阪市中央区,心斎橋,心斎橋,大阪メトロ長堀鶴見緑地線,180000,0,subway
大阪市中央区,本町,本町,大阪メトロ御堂筋線,145000,0,subway
大阪市中央区,本町,本町,大阪メトロ中央線,145000,0,subway
大阪市浪速区,難波,難波,南海難波線,250000,0,private
大阪市浪速区,難波,なんば,大阪メトロ御堂筋線,200000,2,subway
大阪市浪速区,難波,なんば,大阪メトロ千日前線,95000,3,subway
大阪市浪速区,難波,大阪難波,近鉄難波線,130000,4,private
大阪市天王寺区,天王寺,天王寺,JR大阪環状線,220000,0,jr
大阪市天王寺区,天王寺,天王寺,大阪メトロ御堂筋線,180000,2,subway
大阪市天王寺区,天王寺,天王寺,大阪メトロ谷町線,180000,2,subway
大阪市淀川区,新大阪,新大阪,JR東海道新幹線,290000,0,jr
大阪市淀川区,新大阪,新大阪,JR東海道本線,290000,0,jr
大阪市淀川区,新大阪,新大阪,大阪メトロ御堂筋線,160000,3,subway
大阪市東淀川区,東淀川,東淀川,JR東海道本線,55000,0,jr
大阪市都島区,都島,都島,大阪メトロ谷町線,52000,0,subway
大阪市福島区,野田,野田,JR大阪環状線,38000,0,jr
大阪市西区,西長堀,西長堀,大阪メトロ千日前線,32000,0,subway
大阪市住吉区,我孫子,我孫子,大阪メトロ御堂筋線,62000,0,subway
豊中市,豊中,豊中,大阪モノレール,38000,0,private
豊中市,豊中,豊中,阪急宝塚本線,72000,2,private
吹田市,江坂,江坂,大阪メトロ御堂筋線,82000,0,subway
東大阪市,荒本,荒本,大阪メトロ中央線,28000,0,subway
堺市堺区,堺,堺東,南海高野線,55000,0,private
