city,total_housing,total_vacant,vacancy_rate,for_rent,for_sale,other_vacant
"阿倍野区",71556,9660,13.5,60,1320,0
"旭区",72296,9760,13.5,160,1670,0
"茨木市",108815,14690,13.5,190,1240,0
"羽曳野市",63111,8520,13.5,800,80,0
"河内長野市",38370,5180,13.5,130,630,0
"河南町",7111,960,13.5,0,50,0
"貝塚市",41556,5610,13.5,140,210,0
"岸和田市",87481,11810,13.5,360,480,0
"熊取町",9111,1230,13.5,0,80,0
"交野市",23407,3160,13.5,20,430,0
"港区",75852,10240,13.5,190,1500,0
"高石市",31037,4190,13.5,30,560,0
"高槻市",126074,17020,13.5,310,1290,0
"此花区",48667,6570,13.5,350,1700,0
"阪南市",26667,3600,13.5,30,40,0
"堺区",113333,15300,13.5,110,1540,0
"堺市",405926,54800,13.5,500,5500,0
"四條畷市",26889,3630,13.5,110,300,0
"守口市",97630,13180,13.5,20,780,0
"住吉区",130444,17610,13.5,70,1880,0
"住之江区",73926,9980,13.5,60,950,0
"松原市",62593,8450,13.5,60,740,0
"城東区",84889,11460,13.5,20,2470,0
"寝屋川市",127407,17200,13.5,310,1100,0
"吹田市",286741,38710,13.5,620,2400,0
"生野区",120074,16210,13.5,60,1540,0
"西区",67556,9120,13.5,50,1610,0
"西区",64370,8690,13.5,120,930,0
"西成区",148815,20090,13.5,280,1670,0
"西淀川区",64000,8640,13.5,220,1900,0
"摂津市",44000,5940,13.5,120,420,0
"泉佐野市",50148,6770,13.5,50,380,0
"泉大津市",41852,5650,13.5,70,270,0
"泉南市",26296,3550,13.5,10,80,0
"大阪狭山市",21778,2940,13.5,50,1230,0
"大阪市",2119259,286100,13.5,2500,35100,0
"大正区",51852,7000,13.5,70,320,0
"大東市",64148,8660,13.5,30,500,0
"池田市",49333,6660,13.5,250,660,0
"中央区",102444,13830,13.5,60,2650,0
"中区",36889,4980,13.5,20,810,0
"忠岡町",9185,1240,13.5,0,0,0
"鶴見区",45407,6130,13.5,0,210,0
"天王寺区",45037,6080,13.5,130,840,0
"都島区",81185,10960,13.5,80,2070,0
"島本町",10000,1350,13.5,10,520,0
"東区",38000,5130,13.5,0,380,0
"東住吉区",120148,16220,13.5,30,460,0
"東成区",74074,10000,13.5,40,460,0
"東大阪市",328815,44390,13.5,130,3650,0
"東淀川区",156296,21100,13.5,180,1450,0
"藤井寺市",32963,4450,13.5,10,130,0
"南区",63704,8600,13.5,120,820,0
"柏原市",40593,5480,13.5,80,40,0
"八尾市",139481,18830,13.5,0,300,0
"美原区",9630,1300,13.5,30,90,0
"富田林市",50889,6870,13.5,360,520,0
"福島区",40222,5430,13.5,40,1150,0
"平野区",126296,17050,13.5,60,2110,0
"豊中市",228370,30830,13.5,840,2350,0
"豊能町",7185,970,13.5,0,10,0
"北区",95630,12910,13.5,0,2200,0
"北区",79778,10770,13.5,70,880,0
"枚方市",174519,23560,13.5,240,1430,0
"箕面市",67111,9060,13.5,130,2180,0
"岬町",10667,1440,13.5,0,70,0
"門真市",88667,11970,13.5,610,800,0
"淀川区",146148,19730,13.5,320,2390,0
"浪速区",76667,10350,13.5,0,540,0
"和泉市",68667,9270,13.5,170,1040,0
