city,district,zone_type,coverage_ratio,floor_area_ratio,height_limit
"大阪市北区","天満","商業地域",80,400,
"大阪市中央区","心斋橋","商業地域",80,400,
"大阪市西区","千代崎","第1種低層住居専用地域",50,100,10
"大阪市浪速区","難波中","第2種住居地域",60,200,
"大阪市天王寺区","上本町","第1種低層住居専用地域",50,100,10
"大阪市住吉区","清水丘","商業地域",80,400,
"大阪市北区","扇町","第1種低層住居専用地域",50,100,10
"大阪市中央区","本町","商業地域",80,400,
"大阪市西区","新町","近隣商業地域",80,300,
"大阪市天王寺区","餅差町","商業地域",80,400,
"大阪市北区","天神橋","第2種住居地域",60,200,
"大阪市中央区","難波","商業地域",80,400,
"大阪市西区","江戸堀","商業地域",80,400,
"大阪市浪速区","元町","第1種低層住居専用地域",50,100,10
"大阪市天王寺区","夕陽丘","第1種低層住居専用地域",50,100,10
"大阪市住吉区","我孯子","第1種低層住居専用地域",50,100,10
"大阪市中央区","谷町","第1種低層住居専用地域",50,100,10
"大阪市浪速区","桜川","商業地域",80,400,
"大阪市住吉区","住吉","商業地域",80,400,
"大阪市西区","九条","商業地域",80,400,
