city,population_2020,population_2025,households_2020,households_2025,density_per_sqkm,aging_rate
名古屋市中村区,68000,67200,36500,37800,12450,23.5
名古屋市中区,91000,93500,52800,55200,15820,21.2
名古屋市東区,86000,88200,45600,47800,13250,22.8
名古屋市千種区,165000,166800,82500,84900,11280,23.1
名古屋市名東区,164000,162500,72800,74200,8520,25.8
名古屋市緑区,247000,248500,98500,102300,5680,24.2
名古屋市港区,143000,139800,62500,63200,3250,27.5
名古屋市昭和区,110000,111500,56200,58100,11650,22.5
名古屋市天白区,163000,162000,73500,75200,7850,24.8
名古屋市瑞穂区,107000,108200,52300,54100,10920,23.8
名古屋市熱田区,67000,66500,33800,34900,8120,26.2
名古屋市中川区,221000,219500,97800,100500,7520,25.1
名古屋市北区,163000,162200,76500,78800,9280,26.5
名古屋市西区,150000,151500,70200,72800,8950,24.5
名古屋市南区,136000,133500,63200,64500,7180,28.2
名古屋市守山区,176000,177500,74800,77200,5120,26.8
豊田市,426000,428500,176500,182000,580,23.2
岡崎市,386000,388200,158200,163500,1050,24.5
一宮市,380000,377500,160800,164200,3520,26.8
春日井市,312000,310500,133500,137200,3680,25.5
豊橋市,374000,371200,156800,160500,1380,25.8
安城市,190000,193500,78200,81800,2150,21.5
刈谷市,153000,155800,68500,71200,3250,20.8
小牧市,149000,147500,63200,65100,2020,25.2
