city,district,total_establishments,major_company_count,employee_total,avg_commute_minutes,top_industry,industry_share,office_vacancy_rate
さいたま市大宮区,大宮駅前,8500,42,185000,38,小売業,0.28,0.08
さいたま市大宮区,宮原,2200,8,42000,42,製造業,0.32,0.12
さいたま市浦和区,浦和駅前,6200,35,125000,35,行政・公務,0.22,0.07
さいたま市中央区,さいたま新都心,4800,68,98000,32,情報通信業,0.35,0.09
さいたま市中央区,与野,3200,18,62000,38,卸売業,0.28,0.1
川越市,川越駅前,5800,28,88000,45,小売業,0.3,0.11
川越市,新河岸,1800,12,35000,48,製造業,0.38,0.14
所沢市,所沢駅前,4200,22,72000,42,小売業,0.32,0.1
所沢市,東所沢,2800,35,55000,38,情報通信業,0.45,0.08
越谷市,越谷駅前,4500,20,75000,42,小売業,0.35,0.12
越谷市,レイクタウン,1200,8,28000,38,小売業,0.58,0.05
川口市,川口駅前,7800,38,155000,32,製造業,0.28,0.1
川口市,西川口,3200,15,58000,35,飲食業,0.32,0.15
川口市,芝,4500,25,85000,40,製造業,0.42,0.12
熊谷市,熊谷駅前,3800,18,62000,48,小売業,0.28,0.15
熊谷市,籠原,1500,8,28000,52,製造業,0.35,0.18
草加市,草加駅前,3500,15,65000,38,製造業,0.3,0.12
春日部市,春日部駅前,3200,12,58000,42,小売業,0.28,0.15
朝霞市,朝霞駅前,2800,18,52000,35,情報通信業,0.32,0.09
和光市,和光市駅前,3200,22,68000,30,情報通信業,0.4,0.08
新座市,志木駅前,2500,12,45000,38,サービス業,0.3,0.11
入間市,入間市駅前,2200,10,38000,45,製造業,0.35,0.14
