city,total_crimes,crime_rate_per_1000,theft_count,violent_count,fraud_count,safety_score,dominant_crime_type,year
さいたま市大宮区,3850,8.0,2450,180,320,62,自転車盗,2023
さいたま市浦和区,2820,5.9,1750,125,248,70,自転車盗,2023
さいたま市中央区,1420,13.7,920,58,112,68,万引き,2023
さいたま市見沼区,1680,10.2,1120,68,142,65,自転車盗,2023
さいたま市桜区,980,10.3,650,38,95,70,自転車盗,2023
さいたま市北区,1580,10.6,1050,62,135,65,自転車盗,2023
川越市,4250,11.9,2820,185,380,60,自転車盗,2023
所沢市,3680,10.8,2450,152,312,62,自転車盗,2023
越谷市,4120,12.1,2750,168,345,60,自転車盗,2023
川口市,7850,13.1,5250,325,685,55,自転車盗,2023
熊谷市,2580,13.3,1720,105,225,58,自転車盗,2023
草加市,3250,13.1,2180,135,278,58,自転車盗,2023
春日部市,2980,13.1,1980,122,255,58,自転車盗,2023
上尾市,2650,11.8,1750,108,228,62,自転車盗,2023
新座市,1980,12.1,1320,82,168,62,自転車盗,2023
入間市,1720,11.7,1150,70,148,63,自転車盗,2023
朝霞市,1850,12.9,1250,75,158,60,自転車盗,2023
志木市,920,11.9,620,38,78,63,自転車盗,2023
和光市,1020,12.1,685,42,88,62,自転車盗,2023
蕨市,1180,16.2,795,48,102,55,自転車盗,2023
戸田市,1650,11.5,1105,68,142,63,自転車盗,2023
八潮市,1120,12.4,750,46,96,61,自転車盗,2023
