city,seismic_intensity_30yr,liquefaction_risk,slope_failure_risk,overall_risk_score,notes
さいたま市大宮区,high,medium,low,5,荒川沿い低地部で液状化リスクあり
さいたま市浦和区,high,medium,low,4,台地部は比較的安定
さいたま市中央区,high,high,low,6,低地・旧河道多く液状化注意
さいたま市見沼区,medium,medium,low,4,見沼田んぼ周辺は液状化注意
さいたま市桜区,medium,low,low,3,台地上で安定した地盤
さいたま市北区,medium,medium,low,4,荒川沿い地域は注意
川越市,medium,medium,low,4,入間川流域低地部に液状化リスク
所沢市,medium,low,medium,3,武蔵野台地上で地盤比較的良好
越谷市,high,high,low,7,低湿地帯で液状化リスク高い
川口市,high,high,low,7,荒川・綾瀬川流域で液状化リスク高
熊谷市,medium,medium,low,4,荒川沿い低地部は注意
草加市,high,high,low,7,元荒川・伝右川流域で液状化危険
春日部市,high,high,low,7,低地・旧河道多く液状化高リスク
上尾市,medium,medium,low,4,荒川流域低地部は注意
新座市,medium,low,low,3,武蔵野台地上で比較的安全
入間市,medium,low,medium,3,丘陵地で傾斜地注意
朝霞市,medium,medium,low,4,黒目川沿い低地は注意
志木市,medium,medium,low,4,新河岸川流域低地は注意
和光市,medium,low,low,3,武蔵野台地縁辺部
蕨市,high,high,low,7,低地部液状化リスク高い・埼玉最小市
