city,district,weekday_avg_flow,weekend_avg_flow,avg_stay_minutes,peak_hour,flow_trend,year
さいたま市大宮区,大宮駅前,185000,210000,42,8-9,stable,2023
さいたま市大宮区,大宮駅周辺商店街,45000,62000,68,11-12,stable,2023
さいたま市浦和区,浦和駅前,92000,105000,38,8-9,stable,2023
さいたま市浦和区,浦和パルコ周辺,32000,48000,75,13-14,stable,2023
さいたま市中央区,さいたま新都心,78000,35000,55,9-10,increasing,2023
さいたま市中央区,コクーンシティ,25000,55000,95,14-15,increasing,2023
川越市,川越駅前,68000,92000,52,10-11,increasing,2023
川越市,蔵の街（一番街）,18000,42000,88,12-13,increasing,2023
川越市,本川越駅前,35000,45000,48,10-11,stable,2023
所沢市,所沢駅前,62000,70000,45,8-9,stable,2023
所沢市,西武所沢SC,18000,38000,78,13-14,stable,2023
越谷市,越谷駅前,55000,62000,48,8-9,stable,2023
越谷市,イオンレイクタウン,28000,72000,110,13-14,stable,2023
越谷市,南越谷駅前,48000,52000,42,8-9,stable,2023
川口市,川口駅前,88000,72000,38,8-9,increasing,2023
川口市,キュポ・ラ,22000,35000,65,12-13,increasing,2023
川口市,西川口駅前,38000,32000,42,22-23,stable,2023
熊谷市,熊谷駅前,42000,38000,45,8-9,decreasing,2023
熊谷市,ティアラ21,15000,28000,72,13-14,decreasing,2023
草加市,草加駅前,52000,48000,42,8-9,stable,2023
草加市,アコス草加,18000,32000,68,13-14,stable,2023
春日部市,春日部駅前,45000,42000,48,8-9,decreasing,2023
朝霞市,朝霞駅前,38000,32000,42,8-9,stable,2023
和光市,和光市駅前,48000,35000,38,8-9,increasing,2023
新座市,志木駅前,42000,38000,45,8-9,stable,2023
