city,district,price_per_sqm,year,land_use,change_rate
さいたま市大宮区,大宮駅前,480000,2024,商業,4.2
さいたま市大宮区,大宮駅前,460000,2023,商業,3.8
さいたま市大宮区,大宮駅前,443000,2022,商業,2.9
さいたま市大宮区,大宮駅前,430000,2021,商業,1.5
さいたま市大宮区,大宮駅前,424000,2020,商業,-0.5
さいたま市大宮区,宮原,280000,2024,住宅,3.0
さいたま市大宮区,宮原,271000,2023,住宅,2.5
さいたま市浦和区,浦和駅前,420000,2024,商業,3.5
さいたま市浦和区,浦和駅前,406000,2023,商業,3.0
さいたま市浦和区,浦和駅前,394000,2022,商業,2.1
さいたま市浦和区,浦和駅前,386000,2021,商業,1.2
さいたま市浦和区,浦和駅前,381000,2020,商業,-0.3
さいたま市浦和区,常盤,220000,2024,住宅,2.8
さいたま市浦和区,常盤,214000,2023,住宅,2.2
さいたま市中央区,与野,200000,2024,住宅,2.5
さいたま市中央区,与野,195000,2023,住宅,2.0
さいたま市中央区,与野,191000,2022,住宅,1.5
さいたま市中央区,与野,188000,2021,住宅,0.8
さいたま市中央区,与野,186000,2020,住宅,-0.8
川越市,川越駅前,280000,2024,商業,3.1
川越市,川越駅前,271000,2023,商業,2.6
川越市,川越駅前,264000,2022,商業,1.8
川越市,川越駅前,259000,2021,商業,0.9
川越市,川越駅前,257000,2020,商業,-1.0
川越市,霞ヶ関,140000,2024,住宅,1.8
川越市,霞ヶ関,137000,2023,住宅,1.4
所沢市,所沢駅前,220000,2024,商業,2.8
所沢市,所沢駅前,214000,2023,商業,2.3
所沢市,所沢駅前,209000,2022,商業,1.6
所沢市,所沢駅前,205000,2021,商業,0.8
所沢市,所沢駅前,203000,2020,商業,-1.2
所沢市,航空公園,160000,2024,住宅,2.0
所沢市,航空公園,157000,2023,住宅,1.6
越谷市,越谷駅前,200000,2024,商業,2.5
越谷市,越谷駅前,195000,2023,商業,2.1
越谷市,越谷駅前,191000,2022,商業,1.4
越谷市,越谷駅前,188000,2021,商業,0.6
越谷市,越谷駅前,187000,2020,商業,-1.5
越谷市,レイクタウン,170000,2024,商業,3.2
越谷市,レイクタウン,165000,2023,商業,2.8
川口市,川口駅前,300000,2024,商業,4.0
川口市,川口駅前,288000,2023,商業,3.5
川口市,川口駅前,278000,2022,商業,2.5
川口市,川口駅前,271000,2021,商業,1.5
川口市,川口駅前,267000,2020,商業,-0.8
川口市,西川口,180000,2024,住宅,2.2
川口市,西川口,176000,2023,住宅,1.8
熊谷市,熊谷駅前,180000,2024,商業,1.5
熊谷市,熊谷駅前,177000,2023,商業,1.2
熊谷市,熊谷駅前,175000,2022,商業,0.8
熊谷市,熊谷駅前,174000,2021,商業,0.2
熊谷市,熊谷駅前,173000,2020,商業,-2.0
熊谷市,籠原,120000,2024,住宅,0.8
熊谷市,籠原,119000,2023,住宅,0.5
