city,district,hospital_name,bed_count,departments,emergency_level,specialty,year
さいたま市大宮区,大宮,埼玉医科大学総合医療センター,1012,"内科,外科,循環器科,脳神経外科,救急科,小児科,産婦人科,整形外科,泌尿器科,眼科",3,高度救命救急センター,2023
さいたま市大宮区,大宮,大宮中央総合病院,314,"内科,外科,整形外科,眼科,耳鼻科,皮膚科,産婦人科",2,一般急性期,2023
さいたま市大宮区,大宮,自治医科大学附属さいたま医療センター,595,"内科,外科,循環器科,脳神経外科,救急科,小児科,産婦人科",3,高度急性期・救命,2023
さいたま市浦和区,浦和,さいたま赤十字病院,650,"内科,外科,循環器科,救急科,小児科,産婦人科,整形外科",3,救命救急センター,2023
さいたま市浦和区,浦和,埼玉県立がんセンター,450,"内科,外科,放射線科,血液内科,婦人科,泌尿器科",2,がん専門病院,2023
さいたま市中央区,さいたま新都心,埼玉県立小児医療センター,337,"小児科,小児外科,小児循環器科,小児神経科,新生児科",3,小児専門病院,2023
川越市,川越,川越病院,310,"内科,外科,整形外科,神経内科,救急科",2,一般急性期,2023
川越市,川越,埼玉医科大学病院,1121,"内科,外科,循環器科,脳神経外科,救急科,小児科,産婦人科,整形外科,精神科",3,特定機能病院・高度医療,2023
所沢市,所沢,防衛医科大学校病院,670,"内科,外科,循環器科,脳神経外科,小児科,産婦人科,整形外科,救急科",3,高度急性期・救命,2023
所沢市,所沢,所沢中央病院,248,"内科,外科,整形外科,眼科,耳鼻科",2,一般急性期,2023
越谷市,越谷,越谷市立病院,450,"内科,外科,循環器科,小児科,産婦人科,整形外科,救急科",3,二次救急病院,2023
越谷市,越谷,埼玉県立循環器・呼吸器病センター,250,"循環器科,呼吸器科,心臓血管外科",2,循環器専門病院,2023
川口市,川口,川口市立医療センター,540,"内科,外科,循環器科,脳神経外科,救急科,小児科,産婦人科",3,救命救急センター,2023
川口市,川口,埼玉協同病院,350,"内科,外科,整形外科,小児科,産婦人科,救急科",2,一般急性期,2023
熊谷市,熊谷,深谷赤十字病院,474,"内科,外科,循環器科,救急科,小児科,産婦人科,整形外科",3,救命救急センター,2023
熊谷市,熊谷,熊谷総合病院,310,"内科,外科,整形外科,神経内科,泌尿器科",2,一般急性期,2023
草加市,草加,草加市立病院,348,"内科,外科,小児科,産婦人科,整形外科,救急科",2,二次救急病院,2023
春日部市,春日部,春日部中央総合病院,498,"内科,外科,循環器科,脳神経外科,小児科,産婦人科,救急科",3,救命救急センター,2023
朝霞市,朝霞,朝霞台中央総合病院,280,"内科,外科,整形外科,眼科,耳鼻科,皮膚科",1,一般病院,2023
和光市,和光,埼玉病院（国立病院機構）,350,"内科,外科,神経内科,精神科,リハビリ科",2,慢性期・精神科,2023
