city,pop_2020,pop_2030,pop_2040,pop_2050,decline_rate_2050
"さいたま市大宮区",479000,467403,447110,429715,10.3
"さいたま市浦和区",479000,463375,436030,412592,13.9
"さいたま市中央区",104000,100896,95463,90807,12.7
"さいたま市見沼区",165000,160237,151903,144759,12.3
"さいたま市桜区",95000,92267,87484,83384,12.2
"さいたま市北区",149000,144056,135405,127989,14.1
"さいたま市西区",97000,94398,89845,85942,11.4
"川越市",356822,347138,330190,315664,11.5
"所沢市",341924,329507,307778,289153,15.4
"越谷市",341284,333146,318905,306698,10.1
"川口市",598049,577268,540901,509729,14.8
"熊谷市",194636,188175,176869,167177,14.1
"草加市",248510,239343,223301,209551,15.7
"春日部市",226831,218476,203855,191323,15.7
"上尾市",224000,217164,205202,194949,13
"新座市",164000,158444,148720,140385,14.4
"入間市",147000,142863,135622,129416,12
"朝霞市",143000,138445,130474,123641,13.5
"志木市",77000,74621,70457,66888,13.1
"和光市",84000,81857,78106,74891,10.8
