city,district,year,median_per_sqm,max_per_sqm,min_per_sqm,sample_lines
さいたま市大宮区,大宮駅前,2024,384000,422400,345600,1
さいたま市大宮区,大宮駅前,2023,368000,404800,331200,1
さいたま市大宮区,大宮駅前,2022,354400,389840,318960,1
さいたま市大宮区,大宮駅前,2021,344000,378400,309600,1
さいたま市大宮区,大宮駅前,2020,339200,373120,305280,1
さいたま市大宮区,宮原,2024,224000,246400,201600,1
さいたま市大宮区,宮原,2023,216800,238480,195120,1
さいたま市浦和区,浦和駅前,2024,336000,369600,302400,1
さいたま市浦和区,浦和駅前,2023,324800,357280,292320,1
さいたま市浦和区,浦和駅前,2022,315200,346720,283680,1
さいたま市浦和区,浦和駅前,2021,308800,339680,277920,1
さいたま市浦和区,浦和駅前,2020,304800,335280,274320,1
さいたま市浦和区,常盤,2024,176000,193600,158400,1
さいたま市浦和区,常盤,2023,171200,188320,154080,1
さいたま市中央区,与野,2024,160000,176000,144000,1
さいたま市中央区,与野,2023,156000,171600,140400,1
さいたま市中央区,与野,2022,152800,168080,137520,1
さいたま市中央区,与野,2021,150400,165440,135360,1
さいたま市中央区,与野,2020,148800,163680,133920,1
川越市,川越駅前,2024,224000,246400,201600,1
川越市,川越駅前,2023,216800,238480,195120,1
川越市,川越駅前,2022,211200,232320,190080,1
川越市,川越駅前,2021,207200,227920,186480,1
川越市,川越駅前,2020,205600,226160,185040,1
川越市,霞ヶ関,2024,112000,123200,100800,1
川越市,霞ヶ関,2023,109600,120560,98640,1
所沢市,所沢駅前,2024,176000,193600,158400,1
所沢市,所沢駅前,2023,171200,188320,154080,1
所沢市,所沢駅前,2022,167200,183920,150480,1
所沢市,所沢駅前,2021,164000,180400,147600,1
所沢市,所沢駅前,2020,162400,178640,146160,1
所沢市,航空公園,2024,128000,140800,115200,1
所沢市,航空公園,2023,125600,138160,113040,1
越谷市,越谷駅前,2024,160000,176000,144000,1
越谷市,越谷駅前,2023,156000,171600,140400,1
越谷市,越谷駅前,2022,152800,168080,137520,1
越谷市,越谷駅前,2021,150400,165440,135360,1
越谷市,越谷駅前,2020,149600,164560,134640,1
越谷市,レイクタウン,2024,136000,149600,122400,1
越谷市,レイクタウン,2023,132000,145200,118800,1
川口市,川口駅前,2024,240000,264000,216000,1
川口市,川口駅前,2023,230400,253440,207360,1
川口市,川口駅前,2022,222400,244640,200160,1
川口市,川口駅前,2021,216800,238480,195120,1
川口市,川口駅前,2020,213600,234960,192240,1
川口市,西川口,2024,144000,158400,129600,1
川口市,西川口,2023,140800,154880,126720,1
熊谷市,熊谷駅前,2024,144000,158400,129600,1
熊谷市,熊谷駅前,2023,141600,155760,127440,1
熊谷市,熊谷駅前,2022,140000,154000,126000,1
熊谷市,熊谷駅前,2021,139200,153120,125280,1
熊谷市,熊谷駅前,2020,138400,152240,124560,1
熊谷市,籠原,2024,96000,105600,86400,1
熊谷市,籠原,2023,95200,104720,85680,1
