city,district,elementary_school,junior_high_school,education_score,university_advancement_rate,nearby_school_count,avg_deviation_value
さいたま市大宮区,大宮駅前,大宮小学校,大宮南中学校,72,0.72,8,52.0
さいたま市大宮区,宮原,宮原小学校,宮原中学校,70,0.68,6,50.5
さいたま市浦和区,浦和駅周辺,仲本小学校,浦和中学校,82,0.85,10,57.5
さいたま市浦和区,常盤,常盤小学校,常盤中学校,80,0.82,9,56.0
さいたま市浦和区,北浦和,大東小学校,木崎中学校,78,0.8,8,55.5
さいたま市中央区,与野,与野南小学校,与野中学校,72,0.7,7,51.0
さいたま市中央区,さいたま新都心,上落合小学校,三橋中学校,74,0.72,6,52.0
川越市,川越駅周辺,川越小学校,川越第一中学校,70,0.68,8,50.5
川越市,霞ヶ関,霞ヶ関小学校,霞ヶ関中学校,65,0.62,5,48.0
所沢市,所沢駅周辺,所沢小学校,所沢中学校,68,0.65,7,49.5
所沢市,東所沢,東所沢小学校,東中学校,65,0.62,5,48.0
越谷市,越谷駅周辺,越谷小学校,越ヶ谷中学校,65,0.62,6,48.5
越谷市,南越谷,大袋小学校,大袋中学校,67,0.65,6,49.0
川口市,川口駅周辺,川口小学校,川口中学校,62,0.58,8,47.0
川口市,西川口,西川口小学校,西中学校,58,0.55,6,45.5
川口市,鳩ヶ谷,南平小学校,南平中学校,65,0.62,5,48.0
熊谷市,熊谷駅周辺,熊谷小学校,熊谷中学校,62,0.58,6,47.0
草加市,草加駅周辺,草加小学校,草加中学校,62,0.58,6,47.0
春日部市,春日部駅周辺,春日部小学校,春日部中学校,60,0.56,6,46.5
朝霞市,朝霞駅周辺,朝霞第一小学校,朝霞第一中学校,72,0.7,7,51.5
和光市,和光市駅周辺,和光市立第一小学校,和光中学校,75,0.74,6,52.5
新座市,志木駅周辺,栗原小学校,栗原中学校,68,0.65,6,49.0
