year,quarter,city,district,property_type,area_sqm,price_total,price_per_sqm,building_year,structure,use
2020,1,さいたま市大宮区,大宮駅前,commercial,185,74000000,400000,2005,RC,店舗
2020,2,さいたま市浦和区,常盤,residential,92,27600000,300000,2010,RC,マンション
2020,3,川越市,川越駅周辺,residential,75,15000000,200000,1998,RC,マンション
2020,4,川口市,川口駅前,commercial,220,88000000,400000,2008,SRC,事務所
2021,1,さいたま市大宮区,宮原,residential,110,33000000,300000,2015,RC,マンション
2021,1,所沢市,所沢駅周辺,residential,68,15640000,230000,2000,RC,マンション
2021,2,越谷市,越谷駅周辺,residential,82,18040000,220000,2005,RC,マンション
2021,3,さいたま市浦和区,浦和駅前,office,320,121600000,380000,2012,SRC,事務所
2021,4,熊谷市,熊谷駅前,land,250,45000000,180000,0,,住宅
2022,1,川越市,霞ヶ関,residential,95,14250000,150000,1995,W,戸建て
2022,1,さいたま市中央区,与野,residential,78,19500000,250000,2018,RC,マンション
2022,2,川口市,西川口,residential,65,17225000,265000,2008,RC,マンション
2022,2,草加市,草加駅周辺,commercial,145,40600000,280000,2000,S,店舗
2022,3,春日部市,春日部駅前,residential,88,15840000,180000,2001,RC,マンション
2022,4,さいたま市大宮区,大宮駅前,office,480,192000000,400000,2018,SRC,事務所
2023,1,所沢市,航空公園,residential,105,27300000,260000,2012,RC,マンション
2023,1,越谷市,レイクタウン,residential,92,20240000,220000,2010,RC,マンション
2023,2,和光市,和光市駅前,residential,72,23040000,320000,2020,RC,マンション
2023,2,さいたま市浦和区,北浦和,residential,98,29400000,300000,2016,RC,マンション
2023,3,熊谷市,熊谷駅前,commercial,168,37800000,225000,1995,S,店舗
2023,3,川口市,鳩ヶ谷,residential,85,22100000,260000,2014,RC,マンション
2023,4,さいたま市大宮区,大宮駅前,land,320,153600000,480000,0,,商業
2023,4,朝霞市,朝霞駅周辺,residential,68,20400000,300000,2019,RC,マンション
2024,1,川越市,川越駅前,residential,78,21840000,280000,2021,RC,マンション
2024,1,さいたま市中央区,さいたま新都心,office,540,216000000,400000,2022,SRC,事務所
2024,2,越谷市,南越谷,residential,88,24200000,275000,2020,RC,マンション
2024,2,所沢市,東所沢,land,180,32400000,180000,0,,住宅
2024,3,川口市,川口駅前,commercial,195,87750000,450000,2023,SRC,店舗
2024,3,さいたま市浦和区,浦和駅前,residential,75,31500000,420000,2023,RC,マンション
2024,4,草加市,草加駅周辺,residential,82,19680000,240000,2015,RC,マンション
