city,district,station_name,line_name,daily_passengers,minutes_to_shinjuku,minutes_to_shibuya,minutes_to_tokyo,bus_routes,parking_spots,year
さいたま市大宮区,大宮,大宮,JR京浜東北線,276000,30,45,28,25,850,2023
さいたま市大宮区,大宮,大宮,JR埼京線,276000,26,35,38,25,850,2023
さいたま市大宮区,大宮,大宮,東武野田線,276000,70,80,58,25,850,2023
さいたま市大宮区,大宮,大宮,JR上野東京ライン,276000,28,44,25,25,850,2023
さいたま市大宮区,宮原,宮原,JR高崎線,38000,38,54,35,8,420,2023
さいたま市浦和区,浦和,浦和,JR京浜東北線,118000,38,52,35,18,320,2023
さいたま市浦和区,北浦和,北浦和,JR京浜東北線,72000,35,50,32,12,280,2023
さいたま市浦和区,南浦和,南浦和,JR京浜東北線,92000,38,52,35,15,350,2023
さいたま市浦和区,南浦和,南浦和,JR武蔵野線,92000,50,55,42,15,350,2023
さいたま市中央区,与野本町,与野本町,JR埼京線,45000,28,38,40,10,280,2023
さいたま市中央区,さいたま新都心,さいたま新都心,JR京浜東北線,68000,32,48,30,12,250,2023
さいたま市見沼区,東大宮,東大宮,JR宇都宮線,42000,48,62,45,10,380,2023
川越市,川越市街,川越,東武東上線,72000,45,60,62,18,520,2023
川越市,川越市街,川越,JR川越線,72000,48,62,65,18,520,2023
川越市,川越市街,本川越,西武新宿線,48000,42,55,68,12,380,2023
川越市,霞ヶ関,霞ヶ関,東武東上線,28000,55,70,72,6,320,2023
所沢市,所沢駅周辺,所沢,西武池袋線,125000,38,48,55,15,420,2023
所沢市,所沢駅周辺,所沢,西武新宿線,125000,40,52,68,15,420,2023
所沢市,東所沢,東所沢,JR武蔵野線,42000,48,55,50,8,380,2023
越谷市,越谷駅周辺,越谷,東武スカイツリーライン,68000,42,55,50,12,350,2023
越谷市,南越谷,南越谷,東武スカイツリーライン,78000,40,52,48,14,320,2023
越谷市,南越谷,越谷レイクタウン,JR武蔵野線,52000,45,52,48,8,850,2023
川口市,川口駅前,川口,JR京浜東北線,98000,22,35,18,20,280,2023
川口市,西川口,西川口,JR京浜東北線,68000,20,32,16,14,180,2023
川口市,鳩ヶ谷,鳩ヶ谷,埼玉高速鉄道,35000,25,30,35,8,220,2023
熊谷市,熊谷駅周辺,熊谷,JR高崎線,52000,65,80,62,12,580,2023
熊谷市,熊谷駅周辺,熊谷,JR上越・北陸新幹線,52000,25,40,28,12,580,2023
熊谷市,籠原,籠原,JR高崎線,32000,72,88,68,8,450,2023
草加市,草加駅周辺,草加,東武スカイツリーライン,68000,30,42,38,12,250,2023
春日部市,春日部駅周辺,春日部,東武スカイツリーライン,62000,45,58,52,14,380,2023
春日部市,春日部駅周辺,春日部,東武野田線,62000,65,75,70,14,380,2023
朝霞市,朝霞駅周辺,朝霞,東武東上線,38000,28,42,48,10,220,2023
和光市,和光市駅前,和光市,東武東上線,78000,22,28,38,15,280,2023
和光市,和光市駅前,和光市,東京メトロ副都心線,78000,22,28,38,15,280,2023
新座市,志木駅周辺,志木,東武東上線,65000,32,48,52,12,320,2023
