city,total_housing,total_vacant,vacancy_rate,for_rent,for_sale,other_vacant
"さいたま市",425926,57500,13.5,800,7000,0
"ふじみ野市",48667,6570,13.5,30,640,0
"伊奈町",14963,2020,13.5,0,270,0
"羽生市",21778,2940,13.5,0,40,0
"浦和区",48593,6560,13.5,0,720,0
"越谷市",88889,12000,13.5,210,910,0
"桶川市",20963,2830,13.5,0,30,0
"加須市",37778,5100,13.5,0,270,0
"滑川町",5778,780,13.5,0,100,0
"岩槻区",36296,4900,13.5,0,370,0
"寄居町",21185,2860,13.5,0,20,0
"吉見町",3185,430,13.5,0,0,0
"吉川市",13185,1780,13.5,10,120,0
"久喜市",52296,7060,13.5,90,380,0
"宮代町",14000,1890,13.5,0,70,0
"狭山市",56667,7650,13.5,90,790,0
"熊谷市",86815,11720,13.5,80,840,0
"見沼区",56963,7690,13.5,140,770,0
"戸田市",40074,5410,13.5,10,130,0
"幸手市",17630,2380,13.5,0,30,0
"行田市",36519,4930,13.5,550,80,0
"鴻巣市",44222,5970,13.5,0,460,0
"坂戸市",45926,6200,13.5,0,380,0
"桜区",30370,4100,13.5,10,150,0
"三郷市",37704,5090,13.5,40,280,0
"三芳町",9704,1310,13.5,300,110,0
"志木市",24296,3280,13.5,10,300,0
"春日部市",70296,9490,13.5,40,1070,0
"所沢市",124889,16860,13.5,290,910,0
"小川町",11852,1600,13.5,0,0,0
"松伏町",6000,810,13.5,0,150,0
"上尾市",69407,9370,13.5,180,770,0
"上里町",13037,1760,13.5,10,30,0
"新座市",45630,6160,13.5,0,540,0
"深谷市",63556,8580,13.5,180,690,0
"杉戸町",14519,1960,13.5,0,100,0
"西区",23778,3210,13.5,0,310,0
"川越市",110667,14940,13.5,0,600,0
"川口市",215926,29150,13.5,130,4000,0
"川島町",5704,770,13.5,0,10,0
"草加市",78963,10660,13.5,0,1090,0
"大宮区",48296,6520,13.5,0,540,0
"秩父市",43556,5880,13.5,10,430,0
"中央区",35630,4810,13.5,110,170,0
"朝霞市",46296,6250,13.5,30,630,0
"鶴ヶ島市",28074,3790,13.5,80,240,0
"東松山市",42741,5770,13.5,30,130,0
"南区",67481,9110,13.5,20,2120,0
"日高市",16519,2230,13.5,0,170,0
"入間市",36296,4900,13.5,0,540,0
"白岡市",11407,1540,13.5,30,160,0
"八潮市",27926,3770,13.5,70,480,0
"飯能市",35481,4790,13.5,0,220,0
"富士見市",39259,5300,13.5,150,420,0
"北区",53556,7230,13.5,500,1760,0
"北本市",25111,3390,13.5,70,320,0
"本庄市",40296,5440,13.5,0,280,0
"毛呂山町",22000,2970,13.5,30,200,0
"嵐山町",8222,1110,13.5,0,0,0
"緑区",25111,3390,13.5,0,50,0
"蓮田市",16593,2240,13.5,0,10,0
"和光市",26444,3570,13.5,20,620,0
"蕨市",34593,4670,13.5,100,1070,0
