city,district,zone_type,coverage_ratio,floor_area_ratio,height_limit
"さいたま市大宮区","大宮駅前","商業地域",80,400,
"さいたま市浦和区","常盤","第1種低層住居専用地域",50,100,10
"川越市","川越駅周辺","第1種低層住居専用地域",50,100,10
"川口市","川口駅前","商業地域",80,400,
"さいたま市大宮区","宮原","第1種低層住居専用地域",50,100,10
"所沢市","所沢駅周辺","第1種低層住居専用地域",50,100,10
"越谷市","越谷駅周辺","第1種低層住居専用地域",50,100,10
"さいたま市浦和区","浦和駅前","近隣商業地域",80,300,
"熊谷市","熊谷駅前","第2種住居地域",60,200,
"川越市","霞ヶ関","第1種低層住居専用地域",50,100,10
"さいたま市中央区","与野","第1種低層住居専用地域",50,100,10
"川口市","西川口","第1種低層住居専用地域",50,100,10
"草加市","草加駅周辺","第2種住居地域",60,200,
"春日部市","春日部駅前","第1種低層住居専用地域",50,100,10
"所沢市","航空公園","第1種低層住居専用地域",50,100,10
"越谷市","レイクタウン","第1種低層住居専用地域",50,100,10
"和光市","和光市駅前","第1種低層住居専用地域",50,100,10
"さいたま市浦和区","北浦和","第1種低層住居専用地域",50,100,10
"川口市","鳩ヶ谷","第1種低層住居専用地域",50,100,10
"朝霞市","朝霞駅周辺","第1種低層住居専用地域",50,100,10
"川越市","川越駅前","第1種低層住居専用地域",50,100,10
"さいたま市中央区","さいたま新都心","商業地域",80,400,
"越谷市","南越谷","第1種低層住居専用地域",50,100,10
"所沢市","東所沢","第1種低層住居専用地域",50,100,10
