city,district,facility_name,type,chain_brand,lat,lng,gfa_sqm
東京都新宿区,新宿,伊勢丹新宿,mall,,35.6896,139.7006,68000
東京都新宿区,新宿,高島屋新宿,mall,,35.6901,139.7000,55000
東京都新宿区,新宿,セブンイレブン新宿東口,cvs,セブンイレブン,35.6903,139.7008,120
東京都新宿区,新宿,ファミリーマート新宿西口,cvs,ファミリーマート,35.6895,139.6992,115
東京都新宿区,新宿,スターバックス新宿,cafe,スターバックス,35.6898,139.7004,150
東京都新宿区,新宿,マツモトキヨシ新宿東口,drugstore,マツモトキヨシ,35.6900,139.7010,280
東京都渋谷区,渋谷,渋谷スクランブルスクエア,sc,,35.6580,139.7016,72000
東京都渋谷区,渋谷,ヒカリエ,sc,,35.6591,139.7031,44000
東京都渋谷区,渋谷,セブンイレブン渋谷,cvs,セブンイレブン,35.6585,139.7012,115
東京都渋谷区,渋谷,マクドナルド渋谷,fast_food,マクドナルド,35.6582,139.7009,200
東京都渋谷区,渋谷,ローソン渋谷道玄坂,cvs,ローソン,35.6578,139.6998,110
東京都渋谷区,渋谷,スギ薬局渋谷店,drugstore,スギ薬局,35.6588,139.7022,300
東京都千代田区,丸の内,東京ミッドタウン日比谷,sc,,35.6738,139.7576,60000
東京都千代田区,日本橋,コレド日本橋,sc,,35.6826,139.7744,22000
東京都千代田区,丸の内,セブンイレブン丸の内,cvs,セブンイレブン,35.6829,139.7651,120
東京都千代田区,丸の内,スターバックス丸の内,cafe,スターバックス,35.6835,139.7655,160
東京都港区,六本木,六本木ヒルズ,sc,,35.6604,139.7292,77000
東京都港区,六本木,ミッドタウン六本木,sc,,35.6657,139.7317,56000
東京都港区,六本木,ファミリーマート六本木,cvs,ファミリーマート,35.6607,139.7296,120
東京都港区,六本木,マクドナルド六本木,fast_food,マクドナルド,35.6600,139.7285,180
東京都豊島区,池袋,サンシャインシティ,mall,,35.7281,139.7181,78000
東京都豊島区,池袋,ルミネ池袋,sc,,35.7295,139.7108,42000
東京都豊島区,池袋,セブンイレブン池袋東口,cvs,セブンイレブン,35.7298,139.7115,120
東京都豊島区,池袋,マツモトキヨシ池袋店,drugstore,マツモトキヨシ,35.7285,139.7190,290
東京都豊島区,池袋,スターバックス池袋,cafe,スターバックス,35.7290,139.7118,145
東京都台東区,上野,アトレ上野,sc,,35.7139,139.7766,18000
東京都台東区,上野,ローソン上野駅前,cvs,ローソン,35.7142,139.7760,110
東京都台東区,上野,マツモトキヨシ上野店,drugstore,マツモトキヨシ,35.7136,139.7772,270
東京都世田谷区,三軒茶屋,三軒茶屋キャロットタワー,sc,,35.6437,139.6703,15000
東京都世田谷区,三軒茶屋,セブンイレブン三軒茶屋,cvs,セブンイレブン,35.6440,139.6710,115
東京都世田谷区,三軒茶屋,スギ薬局三軒茶屋,drugstore,スギ薬局,35.6434,139.6698,280
東京都杉並区,吉祥寺,アトレ吉祥寺,sc,,35.7038,139.5803,25000
東京都杉並区,吉祥寺,ファミリーマート吉祥寺,cvs,ファミリーマート,35.7042,139.5808,120
東京都杉並区,吉祥寺,マクドナルド吉祥寺,fast_food,マクドナルド,35.7040,139.5798,190
東京都江東区,豊洲,ららぽーと豊洲,sc,,35.6551,139.7942,84000
