city,district,total_establishments,major_company_count,employee_total,avg_commute_minutes,top_industry,industry_share,office_vacancy_rate
東京都千代田区,丸の内,18500,485,520000,38,金融・保険業,24.5,2.8
東京都千代田区,大手町,16200,420,480000,40,金融・保険業,22.0,3.1
東京都千代田区,有楽町,9800,180,215000,35,情報通信業,16.5,4.2
東京都中央区,日本橋,14500,310,380000,36,金融・保険業,20.5,3.5
東京都中央区,銀座,12800,245,290000,33,卸売・小売業,19.0,4.0
東京都港区,六本木,11200,285,310000,35,情報通信業,21.5,5.2
東京都港区,品川,13500,320,410000,32,情報通信業,25.0,3.8
東京都港区,虎ノ門,10800,260,340000,37,金融・保険業,19.5,4.5
東京都渋谷区,渋谷,15200,380,450000,30,情報通信業,28.5,4.8
東京都渋谷区,恵比寿,7800,145,185000,28,情報通信業,22.0,5.5
東京都新宿区,西新宿,14800,350,420000,34,情報通信業,23.5,5.0
東京都新宿区,新宿三丁目,9200,165,198000,31,卸売・小売業,17.0,6.2
東京都豊島区,池袋,10500,195,245000,33,情報通信業,18.5,6.8
東京都台東区,上野,8200,120,165000,35,卸売・小売業,20.5,7.5
東京都墨田区,錦糸町,6800,95,138000,36,卸売・小売業,16.0,7.8
東京都江東区,豊洲,9500,185,225000,34,情報通信業,21.0,5.5
東京都品川区,大崎,8800,175,210000,32,情報通信業,24.5,5.2
東京都目黒区,中目黒,5500,88,118000,29,情報通信業,19.5,6.5
東京都文京区,後楽園,4800,72,95000,30,教育・学習支援業,22.0,5.8
東京都北区,赤羽,5200,68,105000,38,卸売・小売業,15.5,8.5
東京都荒川区,日暮里,4200,52,85000,40,製造業,18.0,8.2
東京都板橋区,大山,4500,55,88000,42,製造業,17.5,9.0
東京都練馬区,練馬,5800,62,108000,40,卸売・小売業,14.5,8.8
東京都足立区,北千住,6500,75,125000,42,卸売・小売業,16.0,9.5
東京都世田谷区,三軒茶屋,6200,95,132000,31,情報通信業,18.0,6.0
