city,total_crimes,crime_rate_per_1000,theft_count,violent_count,fraud_count,safety_score,dominant_crime_type,year
東京都新宿区,5820,58.2,3480,245,820,25,窃盗,2024
東京都渋谷区,3950,42.5,2280,185,620,32,窃盗,2024
東京都千代田区,2850,38.8,1620,95,580,38,窃盗,2024
東京都中央区,3120,40.5,1850,112,610,35,窃盗,2024
東京都港区,3580,41.2,2050,158,720,33,窃盗,2024
東京都文京区,1680,24.5,980,68,285,55,窃盗,2024
東京都台東区,3850,52.8,2310,198,580,28,窃盗,2024
東京都墨田区,2950,38.2,1720,145,420,36,窃盗,2024
東京都江東区,3280,35.5,1950,138,480,38,窃盗,2024
東京都品川区,3650,39.8,2180,165,510,35,窃盗,2024
東京都目黒区,2150,28.5,1280,92,320,48,窃盗,2024
東京都大田区,4820,36.5,2880,210,680,38,窃盗,2024
東京都世田谷区,4950,32.8,2950,188,720,42,窃盗,2024
東京都杉並区,3150,30.5,1880,128,450,45,窃盗,2024
東京都豊島区,4280,49.2,2580,215,620,28,窃盗,2024
東京都北区,2850,34.8,1680,152,380,40,窃盗,2024
東京都足立区,6250,48.5,3750,285,880,25,窃盗,2024
東京都葛飾区,3850,40.2,2310,195,520,33,窃盗,2024
