city,seismic_intensity_30yr,liquefaction_risk,slope_failure_risk,overall_risk_score,notes
千代田区,64,low,low,3,首都直下地震の想定震度6強
中央区,85,medium,low,8,首都直下地震の想定震度6強
港区,65,low,low,3,首都直下地震の想定震度6強
新宿区,85,medium,low,8,首都直下地震の想定震度6強
文京区,85,high,low,10,首都直下地震の想定震度6強
台東区,67,high,low,6,首都直下地震の想定震度6強
墨田区,79,low,low,6,首都直下地震の想定震度6強
江東区,74,medium,high,8,首都直下地震の想定震度6強
品川区,73,low,medium,6,首都直下地震の想定震度6強
目黒区,79,low,low,6,首都直下地震の想定震度6強
大田区,85,low,low,7,首都直下地震の想定震度6強
世田谷区,70,medium,low,5,首都直下地震の想定震度6強
渋谷区,64,low,low,3,首都直下地震の想定震度6強
中野区,84,medium,low,8,首都直下地震の想定震度6強
杉並区,76,high,low,8,首都直下地震の想定震度6強
豊島区,85,high,low,10,首都直下地震の想定震度6強
北区,85,low,low,7,首都直下地震の想定震度6強
荒川区,66,medium,high,6,首都直下地震の想定震度6強
板橋区,74,low,medium,6,首都直下地震の想定震度6強
練馬区,78,low,low,6,首都直下地震の想定震度6強
足立区,66,low,medium,4,首都直下地震の想定震度6強
葛飾区,71,medium,low,5,首都直下地震の想定震度6強
江戸川区,85,low,low,7,首都直下地震の想定震度6強
