city,district,river_flood_risk,inland_flood_risk,storm_surge_risk,hazard_zone,notes
千代田区,千代田区中心部,low,medium,high,danger,東京湾沿岸は高潮注意
中央区,中央区中心部,medium,low,low,warning,荒川・隅田川の大規模氾濫リスク
港区,港区中心部,low,high,high,danger,東京湾沿岸は高潮注意
新宿区,新宿区中心部,low,low,low,caution,首都直下地震の想定震度6強
文京区,文京区中心部,medium,high,high,danger,東京湾沿岸は高潮注意
台東区,台東区中心部,low,low,low,caution,首都直下地震の想定震度6強
墨田区,墨田区中心部,medium,high,medium,warning,東京湾沿岸は高潮注意
江東区,江東区中心部,low,low,low,caution,首都直下地震の想定震度6強
品川区,品川区中心部,medium,high,medium,warning,東京湾沿岸は高潮注意
目黒区,目黒区中心部,low,low,low,caution,首都直下地震の想定震度6強
大田区,大田区中心部,high,high,medium,danger,東京湾沿岸は高潮注意
世田谷区,世田谷区中心部,low,low,low,caution,首都直下地震の想定震度6強
渋谷区,渋谷区中心部,high,high,low,danger,荒川・隅田川の大規模氾濫リスク
中野区,中野区中心部,low,low,low,caution,首都直下地震の想定震度6強
杉並区,杉並区中心部,high,medium,low,danger,荒川・隅田川の大規模氾濫リスク
豊島区,豊島区中心部,low,low,medium,warning,東京湾沿岸は高潮注意
北区,北区中心部,high,medium,low,danger,荒川・隅田川の大規模氾濫リスク
荒川区,荒川区中心部,low,low,high,danger,東京湾沿岸は高潮注意
板橋区,板橋区中心部,high,low,high,danger,東京湾沿岸は高潮注意
練馬区,練馬区中心部,low,low,low,caution,首都直下地震の想定震度6強
足立区,足立区中心部,high,low,medium,danger,東京湾沿岸は高潮注意
葛飾区,葛飾区中心部,low,medium,low,caution,首都直下地震の想定震度6強
江戸川区,江戸川区中心部,medium,low,low,warning,荒川・隅田川の大規模氾濫リスク
