city,district,weekday_avg_flow,weekend_avg_flow,avg_stay_minutes,peak_hour,flow_trend,year
東京都新宿区,歌舞伎町,380000,210000,85,21:00-22:00,stable,2025
東京都新宿区,西新宿,295000,95000,60,08:00-09:00,increasing,2025
東京都新宿区,新宿三丁目,260000,185000,75,18:00-19:00,stable,2025
東京都渋谷区,渋谷,320000,280000,90,18:00-19:00,increasing,2025
東京都渋谷区,原宿,155000,210000,95,14:00-15:00,increasing,2025
東京都渋谷区,恵比寿,125000,118000,70,19:00-20:00,stable,2025
東京都千代田区,丸の内,280000,45000,50,08:00-09:00,stable,2025
東京都千代田区,有楽町,195000,165000,65,12:00-13:00,stable,2025
東京都千代田区,秋葉原,175000,220000,100,15:00-16:00,increasing,2025
東京都中央区,銀座,210000,195000,80,13:00-14:00,stable,2025
東京都中央区,日本橋,185000,72000,55,08:00-09:00,stable,2025
東京都港区,六本木,155000,148000,95,20:00-21:00,stable,2025
東京都港区,品川,220000,130000,58,08:00-09:00,increasing,2025
東京都港区,麻布十番,98000,110000,85,19:00-20:00,stable,2025
東京都豊島区,池袋,305000,258000,80,18:00-19:00,stable,2025
東京都台東区,浅草,145000,195000,110,13:00-14:00,increasing,2025
東京都台東区,上野,188000,172000,90,13:00-14:00,stable,2025
東京都墨田区,錦糸町,145000,128000,68,18:00-19:00,stable,2025
東京都江東区,豊洲,118000,95000,72,12:00-13:00,increasing,2025
東京都品川区,大崎,132000,88000,60,08:00-09:00,increasing,2025
東京都目黒区,中目黒,88000,105000,92,19:00-20:00,increasing,2025
東京都世田谷区,三軒茶屋,95000,108000,78,18:00-19:00,stable,2025
東京都世田谷区,下北沢,78000,115000,105,15:00-16:00,increasing,2025
東京都杉並区,高円寺,72000,98000,88,16:00-17:00,stable,2025
東京都中野区,中野,112000,95000,70,18:00-19:00,stable,2025
東京都北区,赤羽,125000,108000,65,18:00-19:00,stable,2025
東京都荒川区,日暮里,88000,72000,55,08:00-09:00,stable,2025
東京都板橋区,大山,78000,85000,62,18:00-19:00,decreasing,2025
東京都練馬区,練馬,95000,88000,60,08:00-09:00,stable,2025
東京都足立区,北千住,145000,128000,68,08:00-09:00,stable,2025
