year,city,district,address,land_use,price_per_sqm,change_rate,lat,lng
2024,千代田区,丸の内,丸の内1丁目,commercial,18500000,2.8,35.6812,139.7671
2024,千代田区,番町,一番町,residential,2850000,1.5,35.6876,139.7383
2024,中央区,銀座,銀座4丁目,commercial,15200000,3.2,35.6717,139.7649
2024,中央区,日本橋,日本橋1丁目,commercial,8900000,2.1,35.6839,139.7744
2024,港区,赤坂,赤坂1丁目,commercial,7800000,2.5,35.6737,139.7393
2024,港区,白金台,白金台3丁目,residential,1950000,1.8,35.6388,139.7257
2024,新宿区,西新宿,西新宿2丁目,commercial,5600000,1.9,35.6896,139.6917
2024,新宿区,四谷,四谷1丁目,residential,1450000,1.2,35.6869,139.7219
2024,渋谷区,道玄坂,道玄坂1丁目,commercial,8200000,3.5,35.6580,139.6984
2024,渋谷区,松濤,松濤1丁目,residential,2100000,1.6,35.6600,139.6899
2024,品川区,大崎,大崎1丁目,commercial,2800000,2.0,35.6197,139.7285
2024,品川区,荏原,荏原1丁目,residential,680000,0.8,35.6095,139.7107
2024,目黒区,自由が丘,自由が丘1丁目,commercial,1850000,1.7,35.6077,139.6695
2024,目黒区,青葉台,青葉台1丁目,residential,1200000,1.4,35.6523,139.6895
2024,大田区,蒲田,蒲田5丁目,commercial,1100000,0.9,35.5624,139.7162
2024,大田区,田園調布,田園調布3丁目,residential,980000,0.7,35.5944,139.6683
2024,世田谷区,三軒茶屋,三軒茶屋1丁目,commercial,1350000,1.3,35.6435,139.6710
2024,世田谷区,成城,成城6丁目,residential,850000,1.0,35.6398,139.5987
2024,杉並区,荻窪,荻窪4丁目,commercial,1050000,1.1,35.7034,139.6201
2024,杉並区,永福,永福1丁目,residential,620000,0.6,35.6738,139.6439
2024,豊島区,池袋,東池袋1丁目,commercial,5100000,2.3,35.7296,139.7148
2024,豊島区,目白,目白3丁目,residential,780000,0.9,35.7207,139.7076
2024,北区,赤羽,赤羽1丁目,commercial,680000,1.0,35.7783,139.7209
2024,北区,王子,王子1丁目,residential,520000,0.5,35.7530,139.7379
2024,板橋区,板橋,板橋1丁目,commercial,560000,0.7,35.7515,139.7097
2024,板橋区,成増,成増1丁目,residential,420000,0.4,35.7780,139.6336
2024,練馬区,練馬,練馬1丁目,commercial,550000,0.6,35.7354,139.6527
2024,練馬区,石神井町,石神井町3丁目,residential,450000,0.5,35.7332,139.6096
2024,文京区,本郷,本郷3丁目,commercial,2400000,1.8,35.7078,139.7598
2024,文京区,目白台,目白台1丁目,residential,850000,1.1,35.7157,139.7213
2024,台東区,上野,上野4丁目,commercial,3200000,1.5,35.7093,139.7746
2024,台東区,谷中,谷中3丁目,residential,520000,0.8,35.7218,139.7665
2024,墨田区,押上,押上1丁目,commercial,980000,2.0,35.7105,139.8130
2024,墨田区,向島,向島1丁目,residential,380000,0.5,35.7139,139.8068
2024,江東区,豊洲,豊洲2丁目,commercial,2200000,3.0,35.6554,139.7954
2024,江東区,亀戸,亀戸6丁目,residential,480000,0.7,35.6964,139.8251
2024,荒川区,南千住,南千住1丁目,commercial,650000,1.2,35.7331,139.8009
2024,荒川区,西日暮里,西日暮里5丁目,residential,480000,0.6,35.7328,139.7689
2024,足立区,北千住,千住1丁目,commercial,780000,1.3,35.7489,139.8046
2024,足立区,西新井,西新井1丁目,residential,320000,0.3,35.7772,139.7858
2024,葛飾区,亀有,亀有3丁目,commercial,420000,0.5,35.7628,139.8494
2024,葛飾区,金町,金町6丁目,residential,280000,0.2,35.7668,139.8699
2024,江戸川区,葛西,中葛西5丁目,commercial,480000,0.8,35.6610,139.8687
2024,江戸川区,小岩,南小岩7丁目,residential,350000,0.4,35.7319,139.8819
2024,中野区,中野,中野5丁目,commercial,1200000,1.4,35.7065,139.6659
2024,中野区,新井,新井1丁目,residential,580000,0.7,35.7141,139.6690
2023,千代田区,丸の内,丸の内1丁目,commercial,18000000,2.5,35.6812,139.7671
2023,中央区,銀座,銀座4丁目,commercial,14700000,2.8,35.6717,139.7649
2023,港区,赤坂,赤坂1丁目,commercial,7600000,2.2,35.6737,139.7393
2023,新宿区,西新宿,西新宿2丁目,commercial,5500000,1.6,35.6896,139.6917
2023,渋谷区,道玄坂,道玄坂1丁目,commercial,7900000,3.0,35.6580,139.6984
2023,世田谷区,三軒茶屋,三軒茶屋1丁目,commercial,1330000,1.1,35.6435,139.6710
2023,世田谷区,成城,成城6丁目,residential,842000,0.8,35.6398,139.5987
2023,豊島区,池袋,東池袋1丁目,commercial,4980000,2.0,35.7296,139.7148
2023,江東区,豊洲,豊洲2丁目,commercial,2130000,2.5,35.6554,139.7954
2023,品川区,大崎,大崎1丁目,commercial,2740000,1.7,35.6197,139.7285
2022,千代田区,丸の内,丸の内1丁目,commercial,17560000,2.0,35.6812,139.7671
2022,中央区,銀座,銀座4丁目,commercial,14300000,2.3,35.6717,139.7649
2022,港区,赤坂,赤坂1丁目,commercial,7430000,1.8,35.6737,139.7393
2022,新宿区,西新宿,西新宿2丁目,commercial,5410000,1.3,35.6896,139.6917
2022,渋谷区,道玄坂,道玄坂1丁目,commercial,7670000,2.5,35.6580,139.6984
2022,世田谷区,三軒茶屋,三軒茶屋1丁目,commercial,1316000,0.9,35.6435,139.6710
2022,豊島区,池袋,東池袋1丁目,commercial,4880000,1.7,35.7296,139.7148
2022,江東区,豊洲,豊洲2丁目,commercial,2080000,2.0,35.6554,139.7954
2021,千代田区,丸の内,丸の内1丁目,commercial,17210000,1.5,35.6812,139.7671
2021,中央区,銀座,銀座4丁目,commercial,13980000,1.8,35.6717,139.7649
2021,港区,赤坂,赤坂1丁目,commercial,7300000,1.5,35.6737,139.7393
2021,渋谷区,道玄坂,道玄坂1丁目,commercial,7480000,2.0,35.6580,139.6984
2021,世田谷区,成城,成城6丁目,residential,835000,0.6,35.6398,139.5987
2020,千代田区,丸の内,丸の内1丁目,commercial,16960000,1.2,35.6812,139.7671
2020,中央区,銀座,銀座4丁目,commercial,13730000,1.5,35.6717,139.7649
2020,渋谷区,道玄坂,道玄坂1丁目,commercial,7330000,1.7,35.6580,139.6984
2020,世田谷区,成城,成城6丁目,residential,830000,0.5,35.6398,139.5987
