city,district,facility_name,type,lat,lng,beds
東京都新宿区,新宿,東京医科大学病院,hospital,35.6958,139.7012,850
東京都新宿区,新宿,新宿クリニック,clinic,35.6902,139.7005,
東京都新宿区,新宿,スギ薬局調剤新宿,pharmacy,35.6900,139.7003,
東京都新宿区,新宿,新宿デンタルクリニック,dental,35.6905,139.7008,
東京都千代田区,丸の内,東京逓信病院,hospital,35.6841,139.7525,480
東京都千代田区,丸の内,丸の内クリニック,clinic,35.6831,139.7681,
東京都千代田区,丸の内,丸の内調剤薬局,pharmacy,35.6835,139.7660,
東京都港区,六本木,虎の門病院,hospital,35.6671,139.7482,900
東京都港区,六本木,六本木クリニック,clinic,35.6602,139.7288,
東京都港区,六本木,六本木歯科クリニック,dental,35.6605,139.7294,
東京都渋谷区,渋谷,渋谷病院,hospital,35.6581,139.7002,300
東京都渋谷区,渋谷,渋谷クリニック,clinic,35.6590,139.7020,
東京都渋谷区,渋谷,渋谷調剤薬局,pharmacy,35.6586,139.7015,
東京都渋谷区,渋谷,渋谷デンタルオフィス,dental,35.6583,139.7011,
東京都豊島区,池袋,帝京大学医学部附属病院,hospital,35.7278,139.7185,1050
東京都豊島区,池袋,池袋クリニック,clinic,35.7290,139.7110,
東京都豊島区,池袋,スギ薬局調剤池袋,pharmacy,35.7288,139.7188,
東京都豊島区,池袋,池袋歯科クリニック,dental,35.7293,139.7113,
東京都台東区,上野,台東区立台東病院,hospital,35.7138,139.7768,350
東京都台東区,上野,上野クリニック,clinic,35.7140,139.7760,
東京都台東区,上野,上野調剤薬局,pharmacy,35.7135,139.7765,
東京都江東区,豊洲,江東病院,hospital,35.6620,139.7981,400
東京都江東区,豊洲,豊洲クリニック,clinic,35.6615,139.7975,
東京都江東区,豊洲,豊洲介護老人保健施設,elderly_care,35.6610,139.7970,
東京都文京区,後楽園,東京ドームシティスポーツ診療所,clinic,35.7055,139.7518,
東京都文京区,後楽園,東京医科歯科大学病院,hospital,35.7018,139.7633,1000
東京都文京区,後楽園,後楽園調剤薬局,pharmacy,35.7052,139.7520,
東京都世田谷区,三軒茶屋,昭和大学医学部附属病院,hospital,35.6442,139.6698,700
東京都世田谷区,三軒茶屋,三軒茶屋クリニック,clinic,35.6438,139.6706,
東京都世田谷区,三軒茶屋,三軒茶屋デンタルクリニック,dental,35.6435,139.6701,
