city,district,neighborhood,population,households,pop_density_sqkm,avg_age,child_ratio,elderly_ratio,daytime_pop_ratio
千代田区,丸の内,丸の内1丁目,250,180,28500,38.0,0.03,0.10,4.9
千代田区,大手町,大手町1丁目,320,220,26800,37.5,0.04,0.09,5.0
千代田区,神田,神田錦町,1850,1120,18500,42.0,0.07,0.18,3.5
中央区,銀座,銀座4丁目,380,260,24200,39.0,0.04,0.12,4.8
中央区,日本橋,日本橋1丁目,1200,780,19800,40.5,0.06,0.15,4.2
港区,六本木,六本木3丁目,2800,1850,16500,40.2,0.07,0.14,3.8
港区,赤坂,赤坂2丁目,1950,1280,17800,39.8,0.06,0.13,4.0
渋谷区,渋谷,渋谷1丁目,580,380,22500,38.5,0.05,0.11,4.5
渋谷区,原宿,神宮前1丁目,1200,780,15800,41.0,0.08,0.16,3.2
新宿区,新宿,新宿3丁目,450,310,25800,37.8,0.04,0.10,4.8
新宿区,歌舞伎町,歌舞伎町1丁目,680,450,21500,39.5,0.05,0.12,4.2
世田谷区,三軒茶屋,三軒茶屋1丁目,5800,3200,12500,42.5,0.14,0.22,1.0
世田谷区,下北沢,北沢2丁目,4200,2350,11800,41.8,0.12,0.20,1.5
品川区,品川駅前,港南2丁目,8500,4800,15200,40.0,0.11,0.16,3.2
豊島区,池袋,東池袋1丁目,1250,820,19500,40.5,0.06,0.15,4.0
