city,population_2020,population_2025,households_2020,households_2025,density_per_sqkm,aging_rate
千代田区,66680,69200,38500,40800,5740,18.2
中央区,169179,183500,93200,102300,16960,15.8
港区,260486,278300,148500,161200,12800,17.1
新宿区,346235,349100,222800,228500,19010,19.5
文京区,240069,246800,134700,139800,21140,19.8
台東区,211444,218200,125400,131200,20890,22.5
墨田区,272085,280500,147600,154300,19590,22.1
江東区,524310,548700,268900,284300,12920,20.3
品川区,422488,435600,234100,244500,18340,20.8
目黒区,288088,292400,166300,171200,19640,19.2
大田区,748081,756200,396800,408100,12410,22.6
世田谷区,943664,958300,488200,503100,16290,19.7
渋谷区,243883,251200,150600,157400,16100,18.4
中野区,344880,347500,210800,215200,22060,20.3
杉並区,591108,597800,338700,347200,17380,21.0
豊島区,301599,308200,196700,204100,23220,20.6
北区,355213,360100,193800,199500,17290,24.5
荒川区,217475,224800,118400,124100,21380,23.1
板橋区,584483,592600,315200,325100,18050,22.3
練馬区,752608,758400,369800,378500,15640,22.8
足立区,695043,698200,337200,345600,13060,26.1
葛飾区,453093,456800,220800,227200,13010,25.3
江戸川区,697932,701500,320600,329300,13500,22.4
