city,pop_2020,pop_2030,pop_2040,pop_2050,decline_rate_2050
"千代田区",66680,65443,63277,61421,7.9
"中央区",169179,164817,157184,150642,11
"港区",260486,253709,241849,231684,11.1
"新宿区",346235,339383,327393,317116,8.4
"文京区",240069,235892,228583,222318,7.4
"台東区",211444,207654,201021,195336,7.6
"墨田区",272085,266098,255621,246641,9.4
"江東区",524310,513138,493586,476828,9.1
"品川区",422488,414014,399184,386473,8.5
"目黒区",288088,281575,270177,260408,9.6
"大田区",748081,731966,703764,679591,9.2
"世田谷区",943664,923478,888152,857873,9.1
"渋谷区",243883,239106,230747,223583,8.3
"中野区",344880,336253,321157,308217,10.6
"杉並区",591108,576680,551431,529790,10.4
"豊島区",301599,295293,284258,274800,8.9
"北区",355213,348105,335666,325004,8.5
"荒川区",217475,212868,204807,197897,9
"板橋区",584483,569555,543431,521039,10.9
"練馬区",752608,735473,705487,679785,9.7
"足立区",695043,681152,656844,636008,8.5
"葛飾区",453093,444480,429408,416489,8.1
"江戸川区",697932,683627,658594,637137,8.7
