city,district,year,median_per_sqm,max_per_sqm,min_per_sqm,sample_lines
千代田区,丸の内,2024,14800000,16280000,13320000,1
千代田区,番町,2024,2280000,2508000,2052000,1
中央区,銀座,2024,12160000,13376000,10944000,1
中央区,日本橋,2024,7120000,7832000,6408000,1
港区,赤坂,2024,6240000,6864000,5616000,1
港区,白金台,2024,1560000,1716000,1404000,1
新宿区,西新宿,2024,4480000,4928000,4032000,1
新宿区,四谷,2024,1160000,1276000,1044000,1
渋谷区,道玄坂,2024,6560000,7216000,5904000,1
渋谷区,松濤,2024,1680000,1848000,1512000,1
品川区,大崎,2024,2240000,2464000,2016000,1
品川区,荏原,2024,544000,598400,489600,1
目黒区,自由が丘,2024,1480000,1628000,1332000,1
目黒区,青葉台,2024,960000,1056000,864000,1
大田区,蒲田,2024,880000,968000,792000,1
大田区,田園調布,2024,784000,862400,705600,1
世田谷区,三軒茶屋,2024,1080000,1188000,972000,1
世田谷区,成城,2024,680000,748000,612000,1
杉並区,荻窪,2024,840000,924000,756000,1
杉並区,永福,2024,496000,545600,446400,1
豊島区,池袋,2024,4080000,4488000,3672000,1
豊島区,目白,2024,624000,686400,561600,1
北区,赤羽,2024,544000,598400,489600,1
北区,王子,2024,416000,457600,374400,1
板橋区,板橋,2024,448000,492800,403200,1
板橋区,成増,2024,336000,369600,302400,1
練馬区,練馬,2024,440000,484000,396000,1
練馬区,石神井町,2024,360000,396000,324000,1
文京区,本郷,2024,1920000,2112000,1728000,1
文京区,目白台,2024,680000,748000,612000,1
台東区,上野,2024,2560000,2816000,2304000,1
台東区,谷中,2024,416000,457600,374400,1
墨田区,押上,2024,784000,862400,705600,1
墨田区,向島,2024,304000,334400,273600,1
江東区,豊洲,2024,1760000,1936000,1584000,1
江東区,亀戸,2024,384000,422400,345600,1
荒川区,南千住,2024,520000,572000,468000,1
荒川区,西日暮里,2024,384000,422400,345600,1
足立区,北千住,2024,624000,686400,561600,1
足立区,西新井,2024,256000,281600,230400,1
葛飾区,亀有,2024,336000,369600,302400,1
葛飾区,金町,2024,224000,246400,201600,1
江戸川区,葛西,2024,384000,422400,345600,1
江戸川区,小岩,2024,280000,308000,252000,1
中野区,中野,2024,960000,1056000,864000,1
中野区,新井,2024,464000,510400,417600,1
千代田区,丸の内,2023,14400000,15840000,12960000,1
中央区,銀座,2023,11760000,12936000,10584000,1
港区,赤坂,2023,6080000,6688000,5472000,1
新宿区,西新宿,2023,4400000,4840000,3960000,1
渋谷区,道玄坂,2023,6320000,6952000,5688000,1
世田谷区,三軒茶屋,2023,1064000,1170400,957600,1
世田谷区,成城,2023,673600,740960,606240,1
豊島区,池袋,2023,3984000,4382400,3585600,1
江東区,豊洲,2023,1704000,1874400,1533600,1
品川区,大崎,2023,2192000,2411200,1972800,1
千代田区,丸の内,2022,14048000,15452800,12643200,1
中央区,銀座,2022,11440000,12584000,10296000,1
港区,赤坂,2022,5944000,6538400,5349600,1
新宿区,西新宿,2022,4328000,4760800,3895200,1
渋谷区,道玄坂,2022,6136000,6749600,5522400,1
世田谷区,三軒茶屋,2022,1052800,1158080,947520,1
豊島区,池袋,2022,3904000,4294400,3513600,1
江東区,豊洲,2022,1664000,1830400,1497600,1
千代田区,丸の内,2021,13768000,15144800,12391200,1
中央区,銀座,2021,11184000,12302400,10065600,1
港区,赤坂,2021,5840000,6424000,5256000,1
渋谷区,道玄坂,2021,5984000,6582400,5385600,1
世田谷区,成城,2021,668000,734800,601200,1
千代田区,丸の内,2020,13568000,14924800,12211200,1
中央区,銀座,2020,10984000,12082400,9885600,1
渋谷区,道玄坂,2020,5864000,6450400,5277600,1
世田谷区,成城,2020,664000,730400,597600,1
