city,district,elementary_school,junior_high_school,education_score,university_advancement_rate,nearby_school_count,avg_deviation_value
東京都文京区,本郷,本郷小学校,文京区立第六中学校,92,86.5,8,72
東京都文京区,小石川,窪町小学校,文京区立第五中学校,90,84.2,7,70
東京都文京区,湯島,湯島小学校,文京区立第四中学校,88,82.0,6,68
東京都千代田区,番町,番町小学校,千代田区立麹町中学校,94,90.5,9,75
東京都千代田区,神田,和泉小学校,千代田区立神田一橋中学校,85,78.0,5,63
東京都港区,白金,白金小学校,港区立白金中学校,91,87.8,8,73
東京都港区,青山,青山小学校,港区立青山中学校,89,85.5,7,71
東京都港区,麻布,麻布小学校,港区立麻布中学校,93,89.0,9,74
東京都渋谷区,松濤,鉢山小学校,渋谷区立松濤中学校,88,83.5,6,69
東京都渋谷区,広尾,広尾小学校,渋谷区立広尾中学校,86,80.2,6,66
東京都目黒区,自由が丘,東山小学校,目黒区立東山中学校,85,79.8,6,65
東京都目黒区,中目黒,中目黒小学校,目黒区立第一中学校,82,76.5,5,63
東京都世田谷区,成城,成城小学校,世田谷区立砧中学校,87,81.5,7,67
東京都世田谷区,祖師谷,祖師谷小学校,世田谷区立砧南中学校,80,74.0,5,61
東京都杉並区,荻窪,荻窪小学校,杉並区立桃井中学校,79,72.5,5,60
東京都杉並区,西荻窪,西荻南小学校,杉並区立東中学校,81,75.0,5,62
東京都中野区,中野,中野小学校,中野区立第一中学校,75,68.0,4,57
東京都豊島区,目白,目白小学校,豊島区立第十中学校,80,74.5,5,61
東京都豊島区,駒込,駒込小学校,豊島区立第九中学校,78,72.0,4,59
東京都新宿区,四谷,四谷小学校,新宿区立四谷中学校,83,77.0,6,64
東京都新宿区,早稲田,早稲田小学校,新宿区立戸山中学校,85,79.5,7,65
東京都台東区,谷中,谷中小学校,台東区立忍岡中学校,74,66.0,4,56
東京都北区,王子,王子小学校,北区立王子中学校,72,64.5,4,55
東京都板橋区,常盤台,常盤台小学校,板橋区立第一中学校,76,69.0,5,58
東京都練馬区,石神井,石神井小学校,練馬区立石神井中学校,77,70.5,5,59
東京都江東区,豊洲,豊洲小学校,江東区立第二中学校,78,71.5,5,60
東京都品川区,大崎,源氏前小学校,品川区立大崎中学校,79,73.0,5,61
東京都足立区,北千住,千寿小学校,足立区立第一中学校,68,60.0,3,52
東京都葛飾区,柴又,柴又小学校,葛飾区立常盤中学校,67,59.5,3,51
東京都江戸川区,小岩,小岩小学校,江戸川区立小岩中学校,66,58.0,3,50
