city,district,station_name,line,daily_passengers,walk_min_to_center,station_type
東京都千代田区,丸の内,東京,JR東海道本線,450000,0,jr
東京都千代田区,丸の内,東京,JR山手線,450000,0,jr
東京都千代田区,丸の内,東京,JR中央線,450000,0,jr
東京都千代田区,有楽町,新橋,JR山手線,280000,8,jr
東京都千代田区,有楽町,有楽町,JR山手線,120000,5,jr
東京都千代田区,丸の内,東京,東京メトロ丸ノ内線,110000,2,subway
東京都新宿区,新宿,新宿,JR山手線,800000,0,jr
東京都新宿区,新宿,新宿,JR中央線,800000,0,jr
東京都新宿区,新宿,新宿,都営新宿線,150000,3,subway
東京都新宿区,新宿,新宿,東京メトロ丸ノ内線,200000,2,subway
東京都新宿区,新宿,新宿,小田急小田原線,340000,3,private
東京都新宿区,新宿,新宿,京王線,320000,3,private
東京都渋谷区,渋谷,渋谷,JR山手線,400000,0,jr
東京都渋谷区,渋谷,渋谷,東京メトロ銀座線,180000,2,subway
東京都渋谷区,渋谷,渋谷,東急東横線,220000,2,private
東京都渋谷区,渋谷,渋谷,東急田園都市線,230000,2,private
東京都港区,品川,品川,JR東海道本線,350000,0,jr
東京都港区,品川,品川,JR山手線,350000,0,jr
東京都港区,六本木,六本木,東京メトロ日比谷線,80000,10,subway
東京都港区,六本木,六本木,都営大江戸線,65000,10,subway
東京都中央区,日本橋,日本橋,東京メトロ銀座線,90000,5,subway
東京都中央区,日本橋,日本橋,東京メトロ東西線,85000,5,subway
東京都豊島区,池袋,池袋,JR山手線,550000,0,jr
東京都豊島区,池袋,池袋,東京メトロ丸ノ内線,180000,2,subway
東京都豊島区,池袋,池袋,東武東上線,260000,2,private
東京都豊島区,池袋,池袋,西武池袋線,240000,2,private
東京都台東区,上野,上野,JR山手線,180000,0,jr
東京都台東区,上野,上野,JR京浜東北線,180000,0,jr
東京都台東区,上野,上野,東京メトロ銀座線,95000,3,subway
東京都文京区,後楽園,後楽園,東京メトロ南北線,65000,5,subway
東京都文京区,後楽園,後楽園,東京メトロ丸ノ内線,62000,5,subway
東京都江東区,豊洲,豊洲,東京メトロ有楽町線,95000,15,subway
東京都江東区,辰巳,辰巳,東京メトロ有楽町線,35000,25,subway
東京都世田谷区,三軒茶屋,三軒茶屋,東急田園都市線,105000,20,private
東京都杉並区,吉祥寺,吉祥寺,JR中央線,145000,30,jr
