city,total_housing,total_vacant,vacancy_rate,for_rent,for_sale,other_vacant
"あきる野市",26074,3520,13.5,0,120,0
"稲城市",26444,3570,13.5,50,320,0
"羽村市",22296,3010,13.5,0,150,0
"葛飾区",207556,28020,13.5,700,2500,0
"江戸川区",244296,32980,13.5,310,1850,0
"江東区",157704,21290,13.5,570,5730,0
"港区",147037,19850,13.5,420,2640,0
"荒川区",104222,14070,13.5,80,4220,0
"国分寺市",51630,6970,13.5,80,960,0
"国立市",44074,5950,13.5,0,290,0
"狛江市",31037,4190,13.5,50,180,0
"三鷹市",79481,10730,13.5,80,950,0
"渋谷区",120444,16260,13.5,150,380,0
"小金井市",51407,6940,13.5,0,300,0
"小平市",96000,12960,13.5,20,340,0
"昭島市",55778,7530,13.5,0,30,0
"新宿区",206815,27920,13.5,1020,960,0
"瑞穂町",7778,1050,13.5,0,50,0
"杉並区",219704,29660,13.5,100,3820,0
"世田谷区",372222,50250,13.5,1740,6570,0
"清瀬市",27481,3710,13.5,0,160,0
"西東京市",64370,8690,13.5,400,780,0
"青梅市",51111,6900,13.5,110,440,0
"千代田区",33111,4470,13.5,50,1530,0
"足立区",293778,39660,13.5,80,4470,0
"多摩市",58519,7900,13.5,20,680,0
"台東区",94889,12810,13.5,170,1480,0
"大田区",358889,48450,13.5,170,1930,0
"中央区",92667,12510,13.5,130,7870,0
"中野区",191259,25820,13.5,20,1660,0
"町田市",148222,20010,13.5,250,940,0
"調布市",94000,12690,13.5,0,1410,0
"東久留米市",44815,6050,13.5,150,620,0
"東村山市",52519,7090,13.5,20,350,0
"東大和市",28000,3780,13.5,20,410,0
"特別区部",4243704,572900,13.5,8200,69000,0
"日の出町",4296,580,13.5,0,0,0
"日野市",72296,9760,13.5,50,460,0
"八王子市",260519,35170,13.5,260,2510,0
"板橋区",271407,36640,13.5,670,3630,0
"品川区",176741,23860,13.5,110,3750,0
"府中市",111333,15030,13.5,50,1820,0
"武蔵村山市",27037,3650,13.5,210,210,0
"武蔵野市",67259,9080,13.5,30,580,0
"福生市",25259,3410,13.5,90,160,0
"文京区",97926,13220,13.5,80,1250,0
"豊島区",202593,27350,13.5,160,270,0
"北区",165037,22280,13.5,940,7140,0
"墨田区",119704,16160,13.5,110,2450,0
"目黒区",96370,13010,13.5,430,1870,0
"立川市",82148,11090,13.5,10,690,0
"練馬区",269852,36430,13.5,0,1020,0
